date,name,category,value,lastValue
18,Tetanus,,1776,1673
18,COVID-19,,0,0
19,Lower Respiratory,,131217,123803
19,Diarrhea,,82832,78745
19,Tuberculosis,,61747,58304
19,HIV/AIDS,,46725,44528
19,Malaria,,37064,36116
19,Typhoid,,7518,7086
19,Whooping cough,,6926,6569
19,Encephalitis(brain inflammation),,5516,5200
19,STI(not including HIV),,6275,6070
19,Measles,,5193,4869
19,Hepatitis,,4316,4062
19,Salmonella,,4228,3997
19,Dengue,,1353,1295
19,Tetanus,,1885,1776
19,COVID-19,,0,0
20,Lower Respiratory,,137588,131217
20,Diarrhea,,87934,82832
20,Tuberculosis,,65073,61747
20,HIV/AIDS,,49452,46725
20,Malaria,,38641,37064
20,Typhoid,,8096,7518
20,Whooping cough,,7258,6926
20,Encephalitis(brain inflammation),,5817,5516
20,STI(not including HIV),,6384,6275
20,Measles,,5609,5193
20,Hepatitis,,4522,4316
20,Salmonella,,4548,4228
20,Dengue,,1421,1353
20,Tetanus,,1965,1885
20,COVID-19,,0,0
21,Lower Respiratory,,144770,137588
21,Diarrhea,,91986,87934
21,Tuberculosis,,68434,65073
21,HIV/AIDS,,52128,49452
21,Malaria,,41426,38641
21,Typhoid,,8358,8096
21,Whooping cough,,7578,7258
21,Encephalitis(brain inflammation),,6030,5817
21,STI(not including HIV),,6745,6384
21,Measles,,5694,5609
21,Hepatitis,,4735,4522
21,Salmonella,,4824,4548
21,Dengue,,1494,1421
21,Tetanus,,2066,1965
21,COVID-19,,0,0
22,Lower Respiratory,,151671,144770
22,Diarrhea,,95259,91986
22,Tuberculosis,,71865,68434
22,HIV/AIDS,,54608,52128
22,Malaria,,44149,41426
22,Typhoid,,8942,8358
22,Whooping cough,,7784,7578
22,Encephalitis(brain inflammation),,6303,6030
22,STI(not including HIV),,6913,6745
22,Measles,,6161,5694
22,Hepatitis,,4947,4735
22,Salmonella,,5007,4824
22,Dengue,,1615,1494
22,Tetanus,,2185,2066
22,COVID-19,,17,0
23,Lower Respiratory,,158630,151671
23,Diarrhea,,100294,95259
23,Tuberculosis,,74899,71865
23,HIV/AIDS,,56818,54608
23,Malaria,,47201,44149
23,Typhoid,,9380,8942
23,Whooping cough,,8205,7784
23,Encephalitis(brain inflammation),,6609,6303
23,STI(not including HIV),,7235,6913
23,Measles,,6258,6161
23,Hepatitis,,5165,4947
23,Salmonella,,5241,5007
23,Dengue,,1684,1615
23,Tetanus,,2258,2185
23,COVID-19,,18,17
24,Lower Respiratory,,164951,158630
24,Diarrhea,,105309,100294
24,Tuberculosis,,78026,74899
24,HIV/AIDS,,59153,56818
24,Malaria,,48390,47201
24,Typhoid,,9823,9380
24,Whooping cough,,8575,8205
24,Encephalitis(brain inflammation),,6860,6609
24,STI(not including HIV),,7432,7235
24,Measles,,6421,6258
24,Hepatitis,,5352,5165
24,Salmonella,,5377,5241
24,Dengue,,1711,1684
24,Tetanus,,2341,2258
24,COVID-19,,26,18
25,Lower Respiratory,,171600,164951
25,Diarrhea,,109103,105309
25,Tuberculosis,,81417,78026
25,HIV/AIDS,,61891,59153
25,Malaria,,50699,48390
25,Typhoid,,10021,9823
25,Whooping cough,,9016,8575
25,Encephalitis(brain inflammation),,7153,6860
25,STI(not including HIV),,7741,7432
25,Measles,,6570,6421
25,Hepatitis,,5551,5352
25,Salmonella,,5496,5377
25,Dengue,,1778,1711
25,Tetanus,,2436,2341
25,COVID-19,,42,26
26,Lower Respiratory,,178726,171600
26,Diarrhea,,114452,109103
26,Tuberculosis,,84557,81417
26,HIV/AIDS,,64430,61891
26,Malaria,,52884,50699
26,Typhoid,,10639,10021
26,Whooping cough,,9436,9016
26,Encephalitis(brain inflammation),,7452,7153
26,STI(not including HIV),,8179,7741
26,Measles,,6927,6570
26,Hepatitis,,5771,5551
26,Salmonella,,5746,5496
26,Dengue,,1847,1778
26,Tetanus,,2518,2436
26,COVID-19,,56,42
27,Lower Respiratory,,185582,178726
27,Diarrhea,,119808,114452
27,Tuberculosis,,87816,84557
27,HIV/AIDS,,66944,64430
27,Malaria,,53755,52884
27,Typhoid,,10917,10639
27,Whooping cough,,9848,9436
27,Encephalitis(brain inflammation),,7662,7452
27,STI(not including HIV),,8414,8179
27,Measles,,7317,6927
27,Hepatitis,,6023,5771
27,Salmonella,,5875,5746
27,Dengue,,1884,1847
27,Tetanus,,2649,2518
27,COVID-19,,82,56
28,Lower Respiratory,,192705,185582
28,Diarrhea,,123209,119808
28,Tuberculosis,,91327,87816
28,HIV/AIDS,,69545,66944
28,Malaria,,56015,53755
28,Typhoid,,11100,10917
28,Whooping cough,,10001,9848
28,Encephalitis(brain inflammation),,7949,7662
28,STI(not including HIV),,8878,8414
28,Measles,,7590,7317
28,Hepatitis,,6251,6023
28,Salmonella,,6046,5875
28,Dengue,,1976,1884
28,Tetanus,,2760,2649
28,COVID-19,,131,82
29,Lower Respiratory,,199429,192705
29,Diarrhea,,128391,123209
29,Tuberculosis,,94482,91327
29,HIV/AIDS,,71853,69545
29,Malaria,,57963,56015
29,Typhoid,,11566,11100
29,Whooping cough,,10519,10001
29,Encephalitis(brain inflammation),,8232,7949
29,STI(not including HIV),,9118,8878
29,Measles,,7703,7590
29,Hepatitis,,6484,6251
29,Salmonella,,6193,6046
29,Dengue,,2087,1976
29,Tetanus,,2854,2760
29,COVID-19,,133,131
30,Lower Respiratory,,206099,199429
30,Diarrhea,,133910,128391
30,Tuberculosis,,97458,94482
30,HIV/AIDS,,74149,71853
30,Malaria,,59159,57963
30,Typhoid,,11866,11566
30,Whooping cough,,11041,10519
30,Encephalitis(brain inflammation),,8495,8232
30,STI(not including HIV),,9410,9118
30,Measles,,7994,7703
30,Hepatitis,,6719,6484
30,Salmonella,,6366,6193
30,Dengue,,2158,2087
30,Tetanus,,2974,2854
30,COVID-19,,171,133
31,Lower Respiratory,,212356,206099
31,Diarrhea,,138649,133910
31,Tuberculosis,,100533,97458
31,HIV/AIDS,,76418,74149
31,Malaria,,60283,59159
31,Typhoid,,12149,11866
31,Whooping cough,,11460,11041
31,Encephalitis(brain inflammation),,8826,8495
31,STI(not including HIV),,9618,9410
31,Measles,,8489,7994
31,Hepatitis,,6901,6719
31,Salmonella,,6677,6366
31,Dengue,,2230,2158
31,Tetanus,,3093,2974
31,COVID-19,,213,171
32,Lower Respiratory,,219332,212356
32,Diarrhea,,144163,138649
32,Tuberculosis,,103617,100533
32,HIV/AIDS,,78687,76418
32,Malaria,,62777,60283
32,Typhoid,,12719,12149
32,Whooping cough,,12012,11460
32,Encephalitis(brain inflammation),,9094,8826
32,STI(not including HIV),,9788,9618
32,Measles,,8983,8489
32,Hepatitis,,7116,6901
32,Salmonella,,6904,6677
32,Dengue,,2286,2230
32,Tetanus,,3206,3093
32,COVID-19,,259,213
33,Lower Respiratory,,225715,219332
33,Diarrhea,,148205,144163
33,Tuberculosis,,106934,103617
33,HIV/AIDS,,81406,78687
33,Malaria,,65434,62777
33,Typhoid,,13182,12719
33,Whooping cough,,12407,12012
33,Encephalitis(brain inflammation),,9391,9094
33,STI(not including HIV),,10186,9788
33,Measles,,9407,8983
33,Hepatitis,,7303,7116
33,Salmonella,,7180,6904
33,Dengue,,2402,2286
33,Tetanus,,3285,3206
33,COVID-19,,362,259
34,Lower Respiratory,,232900,225715
34,Diarrhea,,153469,148205
34,Tuberculosis,,110037,106934
34,HIV/AIDS,,83821,81406
34,Malaria,,68218,65434
34,Typhoid,,13617,13182
34,Whooping cough,,12749,12407
34,Encephalitis(brain inflammation),,9717,9391
34,STI(not including HIV),,10538,10186
34,Measles,,9603,9407
34,Hepatitis,,7492,7303
