country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,3.0,4.0,5.0,"",10.0,13.0,17.0,23.0,33.0,43.0,61.0,75.0,156.0,201.0,238.0,342.0,434.0,537.0,632.0,746.0,922.0,1142.0,1306.0,1610.0,1909.0,2139.0,2449.0,2738.0,3031.0,3404.0,3737.0,4161.0,4471.0,4815.0,5116.0,5546.0,5972.0,6501.0,6927.0,7213.0,7525.0,7917.0,8273.0,8807.0,9252.0
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,386.0,526.0,623.0,882.0,1323.0,1988.0,2775.0,4528.0,5994.0,7734.0,9714.0,11809.0,14399.0,17211.0,20448.0,24320.0,28047.0,31207.0,34625.0,37232.0,40206.0,42696.0,44724.0,59865.0,64021.0,66559.0,68566.0,70618.0,72508.0,74258.0,74652.0,75543.0,76369.0,77016.0,77234.0,77749.0,78159.0,78598.0,78927.0,79355.0,79929.0,80134.0,80261.0,80380.0,80497.0,80667.0,80768.0,80814.0,80859.0,80879.0,80908.0,80932.0,80954.0,80973.0,80995.0,81020.0,81063.0,81086.0,81130.0,81229.0,81281.0,81346.0,81484.0,81553.0,81631.0,81733.0,81827.0,81946.0,82059.0,82157.0,82241.0,82295.0,82395.0,82465.0,82527.0,82575.0,82642.0,82698.0,82784.0,82870.0,82925.0,83004.0,83097.0,83209.0,83303.0,83352.0,83402.0,83754.0,83785.0
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"","",3.0,"",9.0,"",16.0,34.0,45.0,57.0,65.0,102.0,128.0,158.0,210.0,235.0,306.0,378.0,470.0,491.0,539.0,608.0,702.0,798.0,906.0,1065.0,1161.0,1267.0,1406.0,1485.0,1579.0,1780.0,2054.0,2223.0,2473.0,2709.0,2776.0,2852.0,2979.0,3105.0,3233.0,3439.0
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,19.0,19.0,19.0,22.0,22.0,41.0,41.0,45.0,45.0,45.0,45.0,60.0,60.0,60.0,60.0,70.0,70.0,74.0,117.0,117.0,143.0
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"",5.0,9.0,13.0,22.0,23.0,26.0,27.0,35.0,41.0,50.0,69.0,87.0,113.0,117.0,134.0,158.0,177.0,201.0,231.0,263.0,295.0,314.0,330.0,347.0,375.0,396.0,416.0,435.0,454.0,467.0,483.0,502.0,539.0,558.0,577.0,595.0,612.0,618.0,626.0,642.0,649.0
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"","",4.0,4.0,5.0,5.0,6.0,9.0,14.0,17.0,25.0,25.0,73.0,80.0,96.0,101.0,140.0,165.0,168.0,168.0,190.0,194.0,218.0,245.0,261.0,323.0,349.0,384.0,444.0,480.0,533.0,574.0,626.0,626.0,654.0,688.0,742.0
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,7.0,8.0,9.0,"",10.0,11.0,12.0,"","",13.0,16.0,25.0,31.0,37.0,48.0,56.0,69.0,81.0,104.0,126.0,206.0,235.0,306.0,382.0,418.0,495.0,586.0,657.0,713.0,790.0,867.0,963.0,1011.0,1079.0,1126.0,1182.0,1222.0,1282.0,1343.0,1407.0,1495.0,1534.0,1600.0,1650.0,1704.0,1741.0,1791.0,1814.0
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.0,"",4.0,4.0,"","",7.0,11.0,16.0,21.0,25.0,35.0,40.0,48.0,57.0,67.0,80.0,119.0,139.0,170.0,186.0,212.0,233.0,269.0,288.0,320.0,350.0,396.0,457.0,515.0,564.0,620.0,669.0,726.0,766.0,814.0,862.0,923.0
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,"",6.0,"",14.0,21.0,30.0,40.0,40.0,58.0,58.0,67.0,84.0,95.0,116.0,124.0,132.0,146.0,162.0,179.0,214.0,230.0,262.0,320.0,356.0,396.0,426.0,446.0,465.0,494.0,526.0,564.0,595.0,616.0,633.0,662.0,695.0,715.0,735.0,735.0
