country,url,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Austria,https://dynamospanish.com/wp-content/uploads/flags/images/Austria/2/large/Austria.png,1564894,1552093,1555638,1560443,1575031,1590228,1610220,1648263,1690169,1735826,1782252,1826640,1860854,1884044,1886001,1865505,1838227,1835214,1891378,1961512,2020904,2078882,2125994,2136144,2132330,2109607,2080950,2067054,2064563,2078843,2088106,2097089,2109044
Azerbaijan,https://dynamospanish.com/wp-content/uploads/flags/images/Azerbaijan/2/large/Azerbaijan.png,814426,840708,867301,893189,916807,937310,955588,970657,984463,999508,1015868,1035083,1052460,1067887,1079956,1088491,1094683,1099422,1105618,1116822,1133760,1156530,1184983,1218512,1255303,1297283,1345112,1395636,1445241,1493864,1540019,1582090,1622189
Bahamas,https://dynamospanish.com/wp-content/uploads/flags/images/Bahamas/2/large/Bahamas.png,14684,15054,15431,15819,16168,16511,16867,17236,17626,18017,18466,19009,19629,20273,20887,21441,21918,21664,21515,21511,21679,22015,22493,23096,23759,24416,25064,25729,26434,27186,27931,28657,29346
Bahrain,https://dynamospanish.com/wp-content/uploads/flags/images/Bahrain/2/large/Bahrain.png,40835,43047,44536,45624,46495,47316,48101,48804,49495,50105,50728,51565,52978,54518,56040,57493,58814,59543,59966,58489,57985,58916,64235,71990,83000,97778,116897,139652,160060,177840,190737,197864,200159
Bangladesh,https://dynamospanish.com/wp-content/uploads/flags/images/Bangladesh/2/large/Bangladesh.png,11293245,11582130,11887603,12209960,12543836,12888980,13251651,13629358,14015215,14403888,14786930,15161601,15523009,15885115,16267239,16670371,17095713,17553987,18016354,18503259,19014894,19575053,20180474,21008853,21630563,22035646,22330758,22540179,22693137,22869372,23204268,23586140,24013742
Barbados,https://dynamospanish.com/wp-content/uploads/flags/images/Barbados/2/large/Barbados.png,11786,12000,12290,12605,12889,13132,13287,13394,13457,13480,13509,13532,13581,13604,13632,13663,13686,13636,13574,13515,13471,13467,13491,13524,13543,13551,13560,13576,13616,13687,13748,13802,13827
Belarus,https://dynamospanish.com/wp-content/uploads/flags/images/Belarus/2/large/Belarus.png,2025347,2063107,2100275,2134678,2166956,2198602,2231899,2263766,2294239,2324748,2347529,2368324,2390063,2407585,2406203,2397560,2396350,2377781,2358410,2338979,2320364,2271072,2214387,2158715,2113621,2078616,2053342,2039936,2041056,2046281,2062684,2117626,2174988
Belgium,https://dynamospanish.com/wp-content/uploads/flags/images/Belgium/2/large/Belgium.png,2545647,2537536,2530240,2524578,2516760,2509189,2501932,2495593,2502907,2509722,2506725,2512019,2531070,2557634,2578992,2572843,2557226,2512106,2457552,2392982,2301099,2228574,2205239,2176689,2161006,2172518,2203645,2242630,2285456,2331401,2349914,2362174,2371022
Belize,https://dynamospanish.com/wp-content/uploads/flags/images/Belize/2/large/Belize.png,8538,8686,8861,9055,9263,9484,9707,9930,10147,10347,10530,10693,10851,11016,11224,11488,11815,12093,12419,12761,13092,13404,13720,14032,14215,14455,14897,15404,15997,16649,17344,18079,18827
Benin,https://dynamospanish.com/wp-content/uploads/flags/images/Benin/2/large/Benin.png,193028,194339,195557,198585,201922,205379,209171,214080,219567,226634,234282,242770,252593,263179,273986,283862,292713,297028,302132,308534,316350,324991,332038,340079,348574,357650,367196,376316,386204,398555,411762,425477,439181
Bermuda,https://dynamospanish.com/wp-content/uploads/flags/images/Bermuda/2/large/Bermuda.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bhutan,https://dynamospanish.com/wp-content/uploads/flags/images/Bhutan/2/large/Bhutan.png,28483,29048,29494,29852,30277,30835,31557,32322,33115,33616,33680,33294,32533,31590,30844,30466,30538,31034,31917,33189,34820,36800,39086,41592,44095,46464,48600,50545,52339,54024,55597,57122,58540
Bolivia,https://dynamospanish.com/wp-content/uploads/flags/images/Bolivia/2/large/Bolivia.png,1025503,1052926,1081030,1109903,1140060,1171517,1204044,1238373,1274543,1312187,1351482,1392495,1435769,1481886,1530580,1581687,1635755,1644158,1665323,1694005,1725970,1756645,1782027,1797885,1800901,1737289,1670317,1609085,1562181,1569468,1589945,1620867,1660006
Bosnia & Herzegovina,https://dynamospanish.com/wp-content/uploads/flags/images/Bosnia/2/large/Bosnia.png,1076920,1108744,1139323,1168564,1198546,1229880,1264976,1300852,1329497,1340022,1323463,1277152,1207447,1128694,1061296,1019873,1017063,1036609,1067337,1096090,1112576,1114690,1106823,1085445,1068720,1054282,1041958,1031005,1021647,1013015,1005869,1001131,1000678
Botswana,https://dynamospanish.com/wp-content/uploads/flags/images/Botswana/2/large/Botswana.png,82433,84971,87346,89563,91895,94500,97318,100190,102815,105501,108491,111779,115400,119244,123288,127249,131228,135046,138645,141942,145021,148054,150967,153882,156791,159891,163144,166448,169842,172700,175157,177328,179346
Brazil,https://dynamospanish.com/wp-content/uploads/flags/images/Brazil/2/large/Brazil.png,14953288,14946760,15109090,15546768,15956306,16248511,16317934,16398271,16604942,16830212,17263531,17700770,18219195,18651527,18996374,19271120,19569507,19686619,19912282,20214433,20414895,20635005,20829098,21057721,21045994,21006077,20918224,20738291,20612448,20627616,20588408,20620992,20734652
Brunei,https://dynamospanish.com/wp-content/uploads/flags/images/Brunei/2/large/Brunei.png,13758,14278,14746,15216,15741,16376,17137,17993,18895,19793,20634,21400,22099,22759,23420,24098,24789,25546,26369,27161,27881,28528,29119,29652,30173,30733,31296,31895,32549,33233,33902,34587,35269
Bulgaria,https://dynamospanish.com/wp-content/uploads/flags/images/Bulgaria/2/large/Bulgaria.png,2010081,2022897,2034475,2045228,2053082,2052877,2046549,2040770,2034427,2019140,1994521,1971441,1951521,1946445,1958216,1973833,1997706,2051526,2132214,2223427,2312884,2393072,2461996,2515156,2543840,2545086,2517527,2467249,2406849,2339718,2239113,2148719,2059760
Burkina Faso,https://dynamospanish.com/wp-content/uploads/flags/images/Burkina_Faso/2/large/Burkina_Faso.png,472464,480470,489166,498932,509557,519935,530824,542938,555632,569168,583978,598463,614201,630950,648859,667791,687083,701346,713930,726338,739313,752134,764324,776310,780171,786561,797067,812302,831870,855086,880741,907978,939331
Burundi,https://dynamospanish.com/wp-content/uploads/flags/images/Burundi/2/large/Burundi.png,332883,339712,345683,351611,357526,365358,374073,383636,393264,401643,408474,413926,417754,419759,420392,419996,418971,417992,418687,422415,430131,442350,459123,479585,502851,528312,556406,586565,618694,652833,688354,725571,763740
Cambodia,https://dynamospanish.com/wp-content/uploads/flags/images/Cambodia/2/large/Cambodia.png,894850,900286,918592,946086,976661,1005948,1032504,1059277,1087273,1118170,1153670,1194552,1239872,1288607,1335853,1381898,1425804,1460788,1495621,1532030,1570681,1608745,1647017,1684589,1719099,1747146,1777741,1806321,1832620,1858134,1888190,1930612,1992481
Cameroon,https://dynamospanish.com/wp-content/uploads/flags/images/Cameroon/2/large/Cameroon.png,411916,422321,433080,444082,455912,468449,481483,494629,508088,522153,536600,551110,565991,581109,596618,612545,629205,639782,649583,660552,673302,687355,702311,717899,733498,742717,753348,765952,781004,798534,818620,840281,865618
Canada,https://dynamospanish.com/wp-content/uploads/flags/images/Canada/2/large/Canada.png,7166130,6990103,6942431,6906364,6851889,6794153,6765748,6689574,6598797,6527982,6449225,6393761,6333063,6270028,6190721,6099690,6028022,5904378,5767848,5592743,5372251,5131143,4896329,4681563,4499679,4361250,4270240,4230735,4217761,4242704,4209177,4171094,4160166
Cape Verde,https://dynamospanish.com/wp-content/uploads/flags/images/Cape_Verde/2/large/Cape_Verde.png,9955,9962,10145,10428,10723,10947,11097,11200,11291,11426,11651,11964,12349,12781,13237,13693,14139,14574,15027,15506,16034,16608,17232,17882,18505,19088,19592,20055,20527,21032,21584,22194,22855
Central African Rep.,https://dynamospanish.com/wp-content/uploads/flags/images/Central_African_Republic/2/large/Central_African_Republic.png,109972,113458,117252,121010,124609,127768,130405,132452,134212,136139,138513,141446,144795,148440,152160,155864,159355,163142,167014,170720,174166,177345,180344,183295,186659,190544,194877,199795,205092,210536,216146,221779,227460
Chad,https://dynamospanish.com/wp-content/uploads/flags/images/Chad/2/large/Chad.png,183784,186768,190017,193562,197524,201835,206593,211837,217252,222840,228596,234287,240207,246404,252976,260096,267654,275256,283402,292377,302215,312708,323846,335601,347067,358696,370591,382316,394405,406912,420213,434156,448334
Chile,https://dynamospanish.com/wp-content/uploads/flags/images/Chile/2/large/Chile.png,2650399,2711960,2779167,2848293,2917797,2989474,3063601,3139090,3217153,3297825,3382732,3469204,3553695,3639119,3726079,3811405,3894049,3918566,3943501,3963035,3965533,3900000,3832320,3771233,3674335,3593736,3540185,3570236,3630699,3710267,3786592,3858663,3923926
China,https://dynamospanish.com/wp-content/uploads/flags/images/China/2/large/China.png,182134868,189686844,197400824,205085745,212631495,218120866,223101113,227722450,232092410,236188754,240111211,244015600,248100064,252423859,256706521,261196167,265390895,265903437,265386344,264084665,260078302,256005262,253010704,252705079,253628288,254349797,255148820,256260430,259640537,264132592,269215211,275388821,281714540
Colombia,https://dynamospanish.com/wp-content/uploads/flags/images/Colombia/2/large/Colombia.png,2548818,2563604,2599192,2649698,2702935,2755359,2797766,2832185,2867127,2901078,2933994,2975454,3015171,3053982,3084461,3115466,3160521,3162924,3194948,3251083,3307089,3364376,3417204,3458024,3486683,3487442,3482269,3483700,3490329,3591359,3713005,3798307,3874289
Comoros,https://dynamospanish.com/wp-content/uploads/flags/images/Comoros/2/large/Comoros.png,21971,22645,23278,23884,24498,25146,25857,26625,27453,28343,29304,30328,31437,32629,33893,35244,36674,37600,38366,39122,39904,40689,41455,42119,41811,41463,41248,41172,41277,41540,41912,42409,43332
Congo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/255px-Flag_of_the_Republic_of_the_Congo.svg.png,88164,90205,92221,94327,96521,98907,101526,104306,107129,110024,113094,116284,119520,123021,126896,131031,135415,140191,145061,150006,154668,159052,163221,167511,172081,177193,182971,189405,195941,202214,207742,212726,217553
Costa Rica,https://dynamospanish.com/wp-content/uploads/flags/images/Costa_Rica/2/large/Costa_Rica.png,152579,157310,162899,168518,173835,179172,184242,189161,193991,198121,201922,205641,208832,211988,212565,213847,217740,224301,233877,245920,260749,277825,296420,315313,334328,352473,368962,384068,398507,413251,426496,435146,442921
Cote d'Ivoire,https://dynamospanish.com/wp-content/uploads/flags/images/Cote_d'Ivoire/2/large/Cote_d'Ivoire.png,420580,437809,455811,474200,492936,511850,530286,548612,566986,585971,605785,625896,646380,667320,687809,706462,723616,738791,755524,771869,786677,799527,811056,823704,847352,877954,914200,954459,997910,1043304,1092753,1143683,1194513
Croatia,https://dynamospanish.com/wp-content/uploads/flags/images/Croatia/2/large/Croatia.png,897308,907691,917845,928145,940437,954496,971224,989142,1006843,1021917,1031694,1033342,1029038,1020873,1012847,1006557,995296,981955,972677,965672,963027,964064,968655,976708,987888,999031,1009053,1018166,1026135,1029523,1029750,1027558,1022722
Cuba,https://dynamospanish.com/wp-content/uploads/flags/images/Cuba/2/large/Cuba.png,1468853,1460280,1446883,1434526,1421352,1416371,1417305,1424389,1431409,1439465,1452023,1472953,1506200,1548683,1588324,1623964,1649775,1661586,1670362,1671240,1666079,1657751,1648442,1638706,1629087,1616363,1598845,1581908,1572078,1565049,1560819,1558871,1557423
Cyprus,https://dynamospanish.com/wp-content/uploads/flags/images/Cyprus/2/large/Cyprus.png,156223,157136,158068,158972,159961,160918,161882,163036,164461,166093,167940,169798,171901,173969,176262,178892,181671,179692,179351,180124,182977,186618,191084,194740,198131,201257,201405,203458,206444,210413,217310,226357,233246
Czech Republic,https://dynamospanish.com/wp-content/uploads/flags/images/Czech_Republic/2/large/Czech_Republic.png,1982081,1980462,1982686,1989211,1999209,2011997,2025614,2040662,2058223,2076997,2096032,2124391,2151085,2176263,2181712,2175015,2159704,2143280,2136314,2136457,2146402,2161287,2184118,2224197,2247459,2252112,2230375,2196232,2161838,2144662,2129772,2118243,2119660
DR Congo,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/227px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,1147056,1176274,1205431,1235723,1267508,1300723,1335753,1372224,1411336,1454635,1502892,1557144,1617207,1678421,1735230,1785397,1828552,1869310,1907643,1947133,1992488,2045592,2105336,2170103,2238027,2307838,2379680,2454856,2532322,2611414,2693344,2779489,2870564
Denmark,https://dynamospanish.com/wp-content/uploads/flags/images/Denmark/2/large/Denmark.png,1531390,1541261,1550241,1556883,1560581,1562735,1563243,1560605,1559068,1562899,1569401,1578013,1580129,1576245,1565842,1545034,1516619,1475541,1437530,1402809,1365697,1325322,1282647,1235025,1187228,1140919,1092553,1043425,991830,943492,903849,875177,861253
Djibouti,https://dynamospanish.com/wp-content/uploads/flags/images/Djibouti/2/large/Djibouti.png,40162,42091,43554,44915,46696,49247,52723,56957,61519,65841,69546,72486,74820,76753,78582,80558,82718,84709,86896,89178,91477,93745,95988,98229,100424,102722,105214,107715,110482,113340,116287,119325,122406
Dominica,https://dynamospanish.com/wp-content/uploads/flags/images/Dominica/2/large/Dominica.png,2899,2896,2917,2946,2942,2918,2895,2874,2852,2821,2768,2776,2790,2803,2832,2858,2842,2801,2777,2779,2788,2793,2798,2796,2797,2804,2807,2810,2815,2822,2830,2841,2854
Dominican Republic,https://dynamospanish.com/wp-content/uploads/flags/images/Dominican_Republic/2/large/Dominican_Republic.png,521951,537380,553819,570803,588989,609623,631464,652597,675081,698274,724405,751412,777208,800414,821346,838714,851078,811154,777673,752722,732855,718044,707440,701283,698353,696684,696432,698668,713162,731530,751484,772920,794842
Ecuador,https://dynamospanish.com/wp-content/uploads/flags/images/Ecuador/2/large/Ecuador.png,392001,403565,416483,430795,445666,461327,477656,495446,513115,531570,550519,568963,586963,604381,620577,635504,648580,646691,644727,624861,604784,586706,571904,561491,567717,561288,570775,584874,601798,621904,643370,664815,685996
Egypt,https://dynamospanish.com/wp-content/uploads/flags/images/Egypt/2/large/Egypt.png,4244024,4357565,4473860,4592624,4713507,4836746,4965085,5101377,5247028,5392056,5532934,5669943,5803933,5936760,6070173,6206966,6352381,6441400,6553906,6680331,6814722,6957251,7102949,7160985,7247467,7389130,7721825,8122593,8564215,9024296,9433610,9874626,10189096
El Salvador,https://dynamospanish.com/wp-content/uploads/flags/images/El_Salvador/2/large/El_Salvador.png,287316,289917,292081,294545,297651,301323,305639,310634,316325,322113,328548,335878,343830,351992,358984,365129,370418,371467,372346,372829,373093,373025,372312,367952,366995,366864,367639,369778,373409,378491,385591,393445,401864
Equatorial Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Equatorial_Guinea/2/large/Equatorial_Guinea.png,9848,11286,13375,15831,18236,20274,21855,23021,23878,24642,25448,26317,27136,27918,28679,29343,29805,29882,30089,30361,30776,31174,31724,32415,33119,33933,34856,35825,36856,37952,39111,40295,41515
Eritrea,https://dynamospanish.com/wp-content/uploads/flags/images/Eritrea/2/large/Eritrea.png,92519,95578,98733,102065,105603,109288,113226,117313,121078,123773,125049,124675,122988,120807,119319,119299,120945,122803,126248,130970,136622,143233,150597,158295,165861,171329,175728,179613,183049,186777,191203,198569,207060
Estonia,https://dynamospanish.com/wp-content/uploads/flags/images/Estonia/2/large/Estonia.png,305411,308048,310890,314333,318448,323153,328434,334242,340913,348144,354553,359154,356971,350691,345614,338234,331312,324458,320596,319454,320459,322446,324675,327585,328626,328030,324732,321615,317095,310612,303949,300708,298419
Ethiopia,https://dynamospanish.com/wp-content/uploads/flags/images/Ethiopia/2/large/Ethiopia.png,863292,880834,899821,920246,941914,965333,990549,1016954,1044929,1073526,1102433,1132321,1162668,1191806,1218131,1242287,1264145,1290411,1312124,1333451,1357459,1386406,1422307,1467191,1541096,1616591,1659640,1695040,1726141,1755914,1789375,1833682,1901237
Fiji,https://dynamospanish.com/wp-content/uploads/flags/images/Fiji/2/large/Fiji.png,62707,63829,65581,67805,69474,70916,71852,72735,73345,73466,73442,74026,74559,75176,75642,75826,75768,75778,75919,76131,76787,77882,79278,80647,81953,83018,83992,84811,85479,86212,87084,87879,88718
Finland,https://dynamospanish.com/wp-content/uploads/flags/images/Finland/2/large/Finland.png,935827,929914,924778,923461,926525,934348,948889,965217,976086,978691,975130,967795,952643,931947,912199,900414,897041,900231,906491,910759,910837,911907,909968,898072,880838,858963,831640,801208,774465,754705,743060,738939,743091
France,https://dynamospanish.com/wp-content/uploads/flags/images/France/2/large/France.png,11905373,12254646,12681051,13153724,13627385,14069200,14467770,14812833,15066829,15246562,15243509,15149816,14988760,14808915,14654627,14542739,14568815,14650858,14722434,14784974,14791441,14722551,14570994,14192904,13810212,13602899,13544701,13558189,13633447,13772814,13888210,14010443,14133156
Gabon,https://dynamospanish.com/wp-content/uploads/flags/images/Gabon/2/large/Gabon.png,40263,40940,41718,42556,43446,44426,45524,46867,48174,49426,50698,51985,53409,54888,56454,58108,59871,61757,63811,66192,68707,71360,74194,77206,80489,83928,87644,91407,95233,99201,102975,106547,109938
Gambia,https://dynamospanish.com/wp-content/uploads/flags/images/Gambia/2/large/Gambia.png,52685,53794,54919,56251,58065,60392,63266,66591,70042,73168,75621,77309,78411,79140,79799,80717,81799,82862,84164,85636,87245,89000,91020,93161,95361,97705,100181,102771,105402,108095,110941,114067,117453
Georgia,https://dynamospanish.com/wp-content/uploads/flags/images/Georgia/2/large/Georgia.png,925424,929790,932388,933678,934273,934623,935820,937580,938361,936225,929738,918690,904356,888547,874245,863561,856535,852601,850485,848029,842223,835385,828200,821534,817940,815672,814078,813810,814425,816909,819116,817853,815755
Germany,https://dynamospanish.com/wp-content/uploads/flags/images/Germany/2/large/Germany.png,19743623,19890335,20050301,20174504,20236688,20268349,20300939,20281856,20109879,19901079,19498500,19076382,18655820,18334979,17921336,17535172,17697001,17981382,18092292,18048379,17762305,17374677,16989931,16618063,16592229,16664869,16614445,16489354,16330138,16219781,16082376,15959462,15844341
Ghana,https://dynamospanish.com/wp-content/uploads/flags/images/Ghana/2/large/Ghana.png,290874,299179,309271,320513,332128,343639,354956,366006,376725,387549,398791,410350,422257,434689,447500,460703,474068,480343,487533,495390,503576,510823,517536,523528,522565,521837,522515,524840,533506,546913,563602,582741,603954
Gibraltar,https://dynamospanish.com/wp-content/uploads/flags/images/Gibraltar/2/large/Gibraltar.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Greece,https://dynamospanish.com/wp-content/uploads/flags/images/Greece/2/large/Greece.png,2770539,2787353,2822454,2873910,2927339,2995424,3071626,3164939,3233283,3282860,3332887,3368896,3401324,3448001,3488026,3509840,3524635,3532833,3554714,3592498,3625380,3662629,3707718,3722198,3730818,3755221,3741235,3709871,3665742,3617641,3538581,3460576,3374784
Greenland,https://dynamospanish.com/wp-content/uploads/flags/images/Greenland/2/large/Greenland.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Grenada,https://dynamospanish.com/wp-content/uploads/flags/images/Grenada/2/large/Grenada.png,4282,4434,4639,4864,5065,5216,5302,5341,5354,5376,5426,5512,5623,5748,5875,5990,6090,6020,5985,5989,6028,6093,6182,6293,6404,6521,6633,6749,6863,6968,7070,7162,7245
Guatemala,https://dynamospanish.com/wp-content/uploads/flags/images/Guatemala/2/large/Guatemala.png,318396,325500,333087,341097,349544,358562,368453,378895,389727,400187,411008,422417,434323,446590,458261,470320,483187,489054,495724,501535,506277,509148,509286,484880,482488,482884,485625,490791,498523,511385,526434,543624,562527
Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Guinea/2/large/Guinea.png,177720,179957,183042,186956,191361,195975,200611,205321,210807,217754,226631,237692,250611,264290,277165,288042,296452,300146,303460,306788,310531,314693,319362,324736,330940,338390,347151,357244,368076,379292,390739,402527,414557
Guinea-Bissau,https://dynamospanish.com/wp-content/uploads/flags/images/Guinea_Bissau/2/large/Guinea_Bissau.png,35481,35785,36138,36555,36996,37466,37959,38457,38987,39583,40232,40954,41777,42683,43612,44535,45416,45395,45685,46220,46973,47939,49080,50372,51749,53140,54524,55929,57363,58869,60482,62197,64048
Guyana,https://dynamospanish.com/wp-content/uploads/flags/images/Guyana/2/large/Guyana.png,51802,52757,53302,53633,53867,54188,54546,55021,55415,55613,55732,56009,56641,57497,58689,60130,62019,64082,66046,67810,69188,70123,70592,70678,70655,70642,70764,71253,71917,72800,73851,75376,77164
Haiti,https://dynamospanish.com/wp-content/uploads/flags/images/Haiti/2/large/Haiti.png,335472,342345,348350,354117,359942,365827,371723,377520,383610,389424,395369,401613,408623,415914,422928,431049,439627,446498,452984,459351,466078,470558,473295,474596,474540,473816,472628,469608,466866,464671,463278,464191,467615
Honduras,https://dynamospanish.com/wp-content/uploads/flags/images/Honduras/2/large/Honduras.png,307875,313825,321380,330602,340651,350995,362871,374317,384773,393982,403617,412474,419441,425050,431258,436621,442529,447250,453027,460483,466577,472673,473942,476364,483309,490873,498975,507876,518247,531434,545677,560704,576585
Hong Kong,https://dynamospanish.com/wp-content/uploads/flags/images/Hong_Kong/2/large/Hong_Kong.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hungary,https://dynamospanish.com/wp-content/uploads/flags/images/Hungary/2/large/Hungary.png,2796154,2737314,2683366,2639036,2593847,2555282,2516524,2471565,2434159,2398280,2383249,2408814,2437951,2460857,2471245,2476377,2473331,2534605,2575397,2597224,2603128,2627021,2641097,2647778,2663229,2673565,2641879,2602782,2551391,2507239,2426565,2343867,2275537
Iceland,https://dynamospanish.com/wp-content/uploads/flags/images/Iceland/2/large/Iceland.png,61226,60991,61082,62047,62595,62958,62966,62561,62541,62157,61108,60233,59576,58657,58033,57663,57313,56444,55214,54028,52844,51860,50847,49845,48804,47987,47436,46406,44348,41448,38786,37150,36513
India,https://dynamospanish.com/wp-content/uploads/flags/images/India/2/large/India.png,74536824,76586322,78646105,80717558,82795687,84846006,86886588,88876631,90788016,92644635,94432593,96179348,97910833,99639320,101118156,102594850,104168720,105391127,106896776,108494202,110164421,111820102,113285889,114451092,115012540,114865503,113829672,110917232,107891122,105587572,106101619,107702210,110190326
Indonesia,https://dynamospanish.com/wp-content/uploads/flags/images/Indonesia/2/large/Indonesia.png,23578866,24387207,25223551,26098739,27013293,27962315,28941398,29937326,30938905,31939855,32913046,33818669,34631198,35354728,35351136,35483642,36287703,37255375,38283752,39357906,40437450,41465286,42422017,43310582,44133173,44830844,45525517,46344889,47372684,48552921,49908122,51336886,52712875
Iran,https://dynamospanish.com/wp-content/uploads/flags/images/Iran/2/large/Iran.png,2749158,2829864,2908128,2988414,3074400,3167968,3273498,3387179,3508636,3624193,3727357,3819144,3903729,3987070,4080164,4193655,4328170,4447984,4591270,4761409,4952317,5165893,5392688,5620175,5833190,6021550,6156916,6281544,6405391,6535318,6700447,6885356,7083248
Iraq,https://dynamospanish.com/wp-content/uploads/flags/images/Iraq/2/large/Iraq.png,1295012,1328329,1359684,1389441,1417838,1444950,1471237,1498230,1529116,1565433,1610652,1661960,1722332,1791000,1865073,1942833,2026502,2098730,2176590,2256602,2334450,2411113,2482521,2542699,2574838,2605820,2640375,2704780,2779267,2866243,2967864,3085341,3216218
Ireland,https://dynamospanish.com/wp-content/uploads/flags/images/Ireland/2/large/Ireland.png,808287,823828,836863,847825,855070,856344,851334,841643,832733,825052,817899,817599,822541,828488,833873,837045,835822,830063,821895,811688,797618,785156,774275,764167,760320,767091,790316,817333,832745,838266,849563,859813,868872
Israel,https://dynamospanish.com/wp-content/uploads/flags/images/Israel/2/large/Israel.png,824357,835598,847276,857243,866885,875180,881742,884837,890429,902368,917165,937121,961323,990170,1017804,1040952,1059797,1070277,1074406,1073864,1053877,1034313,1016281,1001763,997843,997517,1002286,1009833,1019551,1032078,1049044,1062629,1073768
Italy,https://dynamospanish.com/wp-content/uploads/flags/images/Italy/2/large/Italy.png,13851670,13993964,14007427,13996183,13956424,13900456,13856489,13850692,13862257,13866043,13804637,13594920,13372748,13121678,12854833,12577003,12247409,11931368,11691063,11533946,11445640,11418642,11385408,11366144,11360428,11311751,11265664,11283812,11359546,11486787,11548631,11602426,11659468
