country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,560,572,500,392,439,634,745,639,767,840,990,972,1150,1010,1014,1008,606,448,637,473,400,427,203,290,93,112,100,100,200,128,132,150,149,131,125,92,100,150,177,200,222,250,320,296,296,300,298,339,374,420,440,450,463,475,497,500,513,526
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,1167,1632,1494,1360,1492,1569,1482,1568,1346,1593,1684,1935,2522,2776,2978,3186,2756,2385,2084,1609,1697,1322,1934,2375,1971,1589,1654,1782,1430,1717,1305,1936,2050,1797,929,799,428,600,187,187,92,92,92,118,109,120,122,79,62,79,76,37,60,60,40,14,14,16
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,1738,2246,2450,2537,2400,2578,2206,2273,2235,2328,2412,2558,2959,2975,1750,1810,1818,1760,1671,1667,1666,1754,1800,1900,2000,2000,2000,2000,2000,5400,7300,9600,9600,9600,10600,11000,11600,13500,12000,10200,10200,10200,10206,10200,10352,10500,10628,10041,9671,9527,9383,9238,9094,8897,7256,8415,8189,7953
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",11651,9585,8613,8548,11272,11339,12133,10051,9714,10502,10905,9680,10293,9579,10851,12639,12866,13348,8491,10643,11787,9834,9164,10132,8977,9413,7561
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,49639,51534,48056,43783,35107,51787,45296,46414,36271,31726,24757,39551,43548,44685,42337,51621,43290,41021,32206,8219,54599,44947,30180,44642,44637,45604,38790,39414,41606,37129,29865,24636,19892,17084,24989,31485,30938,37870,30562,32237,31751,34494,25600,31700,26000,29700,25600,21500,25200,20500,19900,19500,24000,19800,24500,19700,30800,30000
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,898,1019,952,975,2489,864,1422,914,1120,721,1118,975,67,"",10,118,110,220,229,267,351,173,204,292,316,276,402,210,327,343,223,315,308,303,331,336,322,305,333,374,357,357,350,350,350,350,300,50,43,139,159,145,138,125,126,117,112,111
Czech Rep.,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,5000,5000,5000,5000,5100,5200,4600,4500,4000,5500,5800,5700,5900,6200,6500,6900,6500,6000,7200,7400,7700,7800,8100,8200,8200,3200,2900,2800,2900,2900,3000,3103,3210,3321,3339,3536,3648,4210,4715,4210,3759,3620,3517,4174,4053,4184,4058,3937,3819,3709,3593,3565,3916,4153,3820,3783,3774,3765
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
