country,category,url,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.318,0.327,0.365,0.44499999999999995,0.472,0.489,0.52,0.581,0.589,0.664,0.543,0.538,0.634,0.7411,0.8812,1.0115,0.991,1.1159999999999999,1.1159999999999999
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.1,0.116,0.128,0.10200000000000001,0.092,0.097,0.094,0.11800000000000001,0.113,0.122,0.1489,0.14700000000000002,0.15000000000000002,0.167,0.18200000000000002,0.17400000000000002,0.178,0.22,0.22
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.46699999999999997,0.509,0.686,0.7200000000000001,0.769,0.9099999999999999,1.109,1.404,1.3940000000000001,1.1843,0.9433,1.0003,1.3753,1.7232999999999996,2.9722999999999997,4.2363,5.3923000000000005,6.7193000000000005,6.7193000000000005
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","","","","","",3.444,3.5020000000000002,3.261,3.6399999999999997,4.06,3.952,5.033,5.126,5.557,5.641,5.7620000000000005,5.792,4.6240000000000006,5.937999999999999,6.920999999999999,7.694000000000001,8.108,8.322000000000001,8.322000000000001
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,459.0164002,468.58403300000003,496.39769979999994,506.01576460000007,498.09258650000004,480.59324239999995,506.9948585,518.6268124,530.2321611000001,553.054844,557.8686931,571.6216013,572.3414405,561.9913126,577.773645,603.8161069,587.7546028,599.7919546,588.26963,598.509647,624.2404037,612.0224413999999,637.0839557,635.1000947000001,613.9174343,606.9790347999999,638.2816129,636.5428718999999,655.6810245,647.5523457,659.3493601,662.9850325,664.5251459,652.2709001000001
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.138,0.155,0.171,0.187,0.20600000000000002,0.222,0.23600000000000002,0.253,0.27,0.281,0.325,0.34600000000000003,0.359,0.385,0.40800000000000003,0.401,0.42300000000000004,0.448,0.448
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.10500000000000001,0.10600000000000001,0.10600000000000001,0.10700000000000001,0.149,0.159,0.166,0.16,0.16,0.159,0.1591,0.17129999999999998,0.1744,0.13840000000000002,0.16940000000000002,0.16940000000000002,0.17040000000000002,0.1514,0.1514
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.086,0.094,0.101,0.108,0.115,0.121,0.122,0.121,0.141,0.172,0.188,0.205,0.193,0.21209999999999998,0.21209999999999998,0.2143,0.2253,0.2293,0.2293
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,14.04,14.82,15.637,16.915,17.811,18.398,19.963,22.35,24.013,25.276,28.026999999999997,30.791,33.292,35.495,38.384,41.268,43.924,45.49100000000001,48.787,49.74306864,51.89866535,54.80155066,58.30597173,59.71478161,59.70077909,61.332643000000004,65.22276124,69.74142329,72.96767833,71.616377,74.53855406,77.74804822,78.60557878,82.29984532
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,410.69,449.53,497.267,545.21,584.81,621.2,677.55,753.94,811.59,927.8,1007.03,1081.31,1135.55,1167.0,1239.3,1355.6,1480.8020000000001,1654.0,1910.575,2203.31,2500.26,2865.7259999999997,3281.553,3495.76,3714.651,4207.16,4713.019,4987.553,5431.635,5794.456999999999,5814.573,6133.16,6604.446999999999,7166.133000000001
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,29.37466424,31.65293008,33.68026919,35.47325376,37.02080623,38.24570622,40.12350791,36.61309872,41.69108606,45.02428381,47.48347061,48.37112137,49.90634228,50.28314288,47.77472075,46.7801804,48.20800287,50.28266394,52.11305277,53.83857432,55.89710848,59.06591452,60.52030201,61.37364043,63.18301213,64.66284078,66.15454614,67.71409307,69.82108652,72.74761912,75.02279788,74.44603435,75.08696805,78.27717438
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.019000000000000003,0.027999999999999997,0.031,0.033,0.041999999999999996,0.045,0.047999999999999994,0.044,0.043,0.040999999999999995,0.045,0.059,0.058,0.055,0.051000000000000004,0.041,0.042,0.0404,0.0404
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","",0.293,0.331,0.392,0.393,0.39,0.424,0.444,0.4,0.484,0.523,0.76,1.2551,1.6471,1.6553,1.6833,2.6149999999999998,2.801,3.3,3.3
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,"","","","","","","","","","","","","","","",6.848,6.878,7.4190000000000005,7.286,7.963,8.157,8.584999999999999,8.93,9.36,9.212,9.473,9.705,10.053,10.094,10.087,10.725,10.792,11.219,11.071
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","","","","","",4.6,4.682,5.063,4.8740000000000006,5.2780000000000005,5.4221,5.3982,5.3902,5.5542,5.6305,5.694,5.827,6.6899999999999995,7.277,7.8919999999999995,8.266,9.565000000000001,9.733,9.733
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,"","","","","",8.748,8.941,8.902000000000001,9.564,8.773,9.276,11.173,10.248,11.462,12.979000000000001,11.280999999999999,12.809000000000001,12.772,13.252,13.99,13.162,13.047,12.709000000000001,12.890999999999998,13.455,14.902000000000001,11.373,10.755,14.052,13.554,11.402999999999999,12.82,11.9835,13.6317
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,"","","","","","","","","","","","","","","",14.192,14.440999999999999,14.82,14.912,14.749,14.451099999999999,15.5101,16.6001,16.6691,16.7201,16.386,16.73,17.360999999999997,18.038,18.250999999999998,19.118000000000002,19.277,19.369999999999997,19.384
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,1.319,1.423,1.501,1.6469999999999998,1.831,1.974,2.077,2.43,2.59,2.685,2.497,2.609,2.728,2.991,3.139,3.37,3.551,3.785,4.052,4.2010000000000005,4.377,4.652,4.871,5.079,5.215,5.322,4.928999999999999,4.717,4.29,4.352,4.534590000000001,4.8880099999999995,5.00437,5.0488800000000005
