country,category,url,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","",85,92,98,99,97,95,86,90,88,88,92,99,104,107,109,111,112,117,115
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,11712,11686,11540,11270,11217,10978,9448,7777,6127,6281,6066,6419,6537,6060,5886,6085,6094,6165,7399,7554,7525,7213,9069,7896,6571,9732,9708,9045,10064,9457,7921,9245,9969,9403
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,"","","","","","","","","","","","","","","",778,828,872,886,920,957,1024,1027,1034,1008,1044,1007,995,1030,1051,1070,1092,1164,1241
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,10057,9928,10718,10782,10721,10864,11551,11424,12023,12857,12583,13449,13421,13639,13409,13583,14386,14458,16212,16460,13469,15664,15417,14627,13580,15104,13673,13015,13127,12492,12552,12516,12172,12599
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,6216,6521,6767,6977,7200,7424,8004,8113,8239,8280,8551,8849,8669,8748,8956,9149,9253,9348,9407,9457,9425,9346,9209,9223,8569,9053,8936,8880,8981,8788,8848,8600,8544,8834
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","",84,93,101,108,116,124,128,132,135,132,130,132,133,126,131,135,138,136,132
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,"","","","","","","","","","","","","","","",1666,1582,1681,1664,1611,1696,1698,1961,2004,2042,2435,2444,2331,2437,2519,2635,2826,2819,2979
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,6725,6729,6824,7017,7117,6956,6796,6730,6553,6537,6616,6795,6785,6845,6835,7082,7199,7195,7459,7562,7629,7850,7881,7903,7362,7832,7582,7782,7868,7707,7924,7916,7907,7804
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,"","","","","","","","","","","","","","","",370,391,351,275,276,306,367,294,345,363,400,430,450,470,463,399,337,464,454
Gibraltar,Europe,http://img.freeflagicons.com/thumb/round_icon/gibraltar/gibraltar_640.png,"","","","","","","","","","","","","","","",3774,3687,3781,3818,3878,4121,4303,4294,4588,4823,4882,4735,4852,5235,5470,6205,7029,7588,7588
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,2782,2819,3010,3306,3392,3422,3471,3590,3644,3816,3866,3928,3989,4223,4499,4858,4823,4883,5212,5282,5346,5434,5710,5774,5599,5271,5488,5654,5320,4716,4866,5128,5229,5146
Greenland,North America,https://image.flaticon.com/icons/svg/197/197453.svg,"","","","","","","","","","","","","","","",7517,6928,6701,5789,5894,6140,6701,6807,7017,7456,7263,7912,7839,8035,8500,9107,8589,9035,8877
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,"","","","","","","","","","","","","","","",1271,1388,1432,1528,1442,1400,1590,1705,1810,1840,1916,1870,1832,1797,1917,1790,1890,1927,1927
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","",90,110,114,98,105,96,90,98,99,96,90,81,66,58,62,97,134,135,131
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,"","","","","","","","","","","","","","","",24,24,15,15,22,22,21,21,20,20,19,19,19,19,20,20,20,19,19
Guyana,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guyana/flag-button-round-250.png,"","","","","","","","","","","","","","","",1174,1221,1226,1103,1150,871,897,944,951,969,1038,1082,1120,1148,1161,1234,1284,1344,1337
Haiti,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-button-round-250.png,"","","","","","","","","","","","","","","",62,66,60,57,58,58,58,47,48,70,56,64,102,96,92,92,96,87,86
Honduras,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/honduras/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hong Kong,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197570.svg,3640,3986,4346,4590,4846,5055,5498,5980,6064,4456,4588,4597,4594,4895,4522,4742,4865,5119,5279,5504,5679,5676,5694,5520,5592,5510,5580,5511,5523,5593,5291,5281,5080,4973
Hungary,Europe,https://cdn.countryflags.com/thumbs/hungary/flag-button-round-250.png,2535,2666,2840,2801,2845,2740,2891,3058,3177,3235,3287,3396,3433,3617,3691,3443,3572,3556,3367,3332,3545,3565,3986,4005,3605,3764,3639,3511,3080,2998,3104,3270,3378,3294
Iceland,Europe,https://cdn.countryflags.com/thumbs/iceland/flag-button-round-250.png,15857,16630,16809,17663,17758,17440,17152,17457,17951,18010,18566,18931,20437,22816,25841,27421,28364,29507,29491,29622,29427,33082,39264,52950,53276,53309,53283,53831,55400,55082,56965,55869,57600,58943
India,Asia & the Pacific,https://cdn.countryflags.com/thumbs/india/flag-button-round-250.png,237,252,272,288,318,329,359,370,390,410,443,451,468,495,527,540,545,557,574,599,613,638,672,689,722,759,827,862,894,974,1005,1058,1098,1154
Indonesia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/indonesia/flag-button-round-250.png,99,109,120,141,159,182,206,214,208,236,274,294,348,372,402,441,474,497,512,538,563,580,612,634,657,702,748,806,858,895,905,947,962,998
