country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,337226,404610,470193,409289,450928,421753,436644,400896,435241,405520,391136,392805,374691,406334,460438,409172,411420,451938,434898,552589,422379,477626,484853,434247,478605,388175,490050,500660,536630,541250,515531,564071,483529,553729,598902,512984,503570,520375,621392,530256,488485,352285,402416,386297,414445,402773,446367,426858,435491,371025,417586,281810,422969,446294,380888,450189,402082,424709
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,99000,101000,104000,106000,121000,125000,129000,133000,137000,140000,149000,95000,118500,120300,125300,130000,150000,175000,210000,245000,298400,345000,365000,410000,425000,515000,580000,630000,660000,700000,780000,830000,840000,810000,850000,950000,845000,975000,1175000,805000,1135000,1150000,1250000,1300000,1300000,1350000,1400000,1504101,1330617,1624242,1588347,1607415,1716253,1729665,1722494,1751057,1773701,1727277
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,167000,225000,248000,300000,318000,500000,630000,750000,1000000,798000,854000,850000,1304681,1160374,1586718,1735908,2118896,2292543,2890728,2382996,3020934,2441044,3553013,2954526,3627800,3352515,4281288,4356534,4516879,4331922,4557334,6568460,9077685,11137489,14017142,17060497,17227752,19490501,20809846,20437065,20022749,19250634,21105161,23681966,24016881,26064930,27865889,29850771,31684433,33265186,35986667,38492519,39683908,40924707,38900319,40394483,41391451,39235019
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6750,6768,7575,5327,5190,4766,4435,4518,2891,1050,1340,1638,1219,2190,2547,2247,2506,2259,2337,2368
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
