country,url,category,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,https://dynamospanish.com/wp-content/uploads/flags/images/Austria/2/large/Austria.png,Europe,46.5097584886874,44.9072370695355,45.6180901534569,46.2846929359315,46.9855812470221,48.2393149536368,48.9255425298678,48.3085412151414,49.013881174705,52.7252596626323,54.86039174788,54.3804711459358,54.2960192212936,54.4568199360651,59.5677317780406,56.5991341566834,59.9162816321086,60.2775956821567,59.6679877608595,63.3172191333532,66.8250060486283,68.396550301208,64.1171139234959,62.4721849872476,66.5750060351522,70.0831614762495,64.014597212162,62.8537227269269,66.562550344062,70.5383587945509,71.4883694819226,70.0484058928522,67.6301674653756,63.2650504915528,65.9870933378821,68.25660110272,70.0836711206827,74.8676902155828,76.9271493915785,78.2601403439716,85.3604956179232,87.5366647639352,86.9481679996606,86.3873824162825,90.7923456929297,94.0338056833054,98.0883112053436,100.733254061926,102.073682731706,87.0622309742796,99.0197962369563,105.102788629725,105.152177427838,104.066414086373,103.528973020149,102.136010417855,101.167012721198,104.707771937866
Azerbaijan,https://dynamospanish.com/wp-content/uploads/flags/images/Azerbaijan/2/large/Azerbaijan.png,Asia & the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0832196452933,86.8637724550898,140.799983402834,133.420761131129,55.3526580466289,69.4108913675133,85.0633599742374,82.046246691237,77.2335799943033,69.861221484048,77.419454865306,78.2409718564226,92.8174579872131,107.561386692787,121.503364477217,115.833445398283,105.265784532332,96.6446391988858,89.2428968637573,74.7440416836369,74.9859884610856,80.5080450059522,78.2632522098433,74.9781719432127,69.4664495434142,72.6015079073189,90.0773187345677,90.6635906985233
Bahamas,https://dynamospanish.com/wp-content/uploads/flags/images/Bahamas/2/large/Bahamas.png,Latin America & the Caribbean,,,,,,,,,,,,,,,,,,148.793828892006,150.180201826045,129.075265039896,133.258443795402,129.75113915177,125.337388329215,124.584487534626,121.895056587134,124.061710865761,121.72295247725,117.126017580178,,111.000326583932,110.120025268478,106.118618136001,101.461563203602,103.359961190168,104.401963792574,104.465441819773,105.856747021336,79.7348855718879,77.7261671656993,75.7027383336782,79.6449438925669,72.5008806383396,70.2779817050926,71.063540505226,76.0019833710461,81.3962709176308,87.5507143032777,88.0128155625079,87.4292228766863,76.5210439633098,78.6756024311196,88.3336891598687,84.2507345739471,85.5150739583725,87.7123013881157,73.6870669843881,73.4863330742981,75.4639412601442
Bahrain,https://dynamospanish.com/wp-content/uploads/flags/images/Bahrain/2/large/Bahrain.png,Asia & the Pacific,,,,,,,,,,,,,,,,,,,,,239.348924963302,251.13888334995,225.758688357164,189.632583309598,190.330268981954,191.610232321025,183.523568876884,189.767930827029,172.832411464694,186.273821160598,210.160965794769,180.64181022066,181.124037169727,164.603897100189,155.17817162615,152.464315379845,164.115419261449,148.582078139234,128.48910154402,141.831698808263,135.809015765396,127.02611196662,130.607523233005,128.091486797096,140.737233188148,148.313492997025,147.10185544489,137.785050572304,145.882662049033,117.963725409489,120.472394522656,174.158964879852,185.888975188856,191.877804995067,175.564650647056,154.067392842373,139.553543142304,
Bangladesh,https://dynamospanish.com/wp-content/uploads/flags/images/Bangladesh/2/large/Bangladesh.png,Asia & the Pacific,19.3039436708071,22.4823523745223,21.554848275691,21.6397630631354,24.1502678104311,23.0293137134448,22.9361029749964,21.9018601093214,19.9371403769383,19.8113211700256,20.8205969538367,17.0190718372794,19.4072895559385,18.3946565109774,14.0496210654104,10.9956261323865,22.3822749296616,19.4221981983695,21.0385149611892,21.9070635430834,23.377231112235,19.2471590909091,20.6069241937352,20.3168806212371,16.8117271749034,18.2221846249994,17.0187425082782,16.6877976312963,17.6780643099612,18.3251740190693,18.9665020125385,18.8898268850747,19.9340055024511,23.1215830698982,22.8658645545703,28.2094960764218,26.0760877233809,26.3255133900833,27.8800634028394,28.3879405571158,29.3217143619038,32.0980170730117,28.9673807211649,27.657884900158,26.8582341492431,34.396934864465,38.1119244325921,39.9423826531735,42.6209140325589,40.092796223023,37.8028426708321,47.4208498356898,48.1109227476789,46.2964027239758,44.5140801968096,42.0859990835216,37.9543007335199,35.3039965170835
Barbados,https://dynamospanish.com/wp-content/uploads/flags/images/Barbados/2/large/Barbados.png,Latin America & the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0253102346726,82.5261958433451,76.159721154339,80.7532499088811,83.4223115856618,90.0714364215848,91.5481344052773,93.8506845574755,86.2870584979417,86.4266613845697,88.7794329649207,84.6405595751849,81.8100075719334,88.2941203413897,90.2172521234368,95.6675134067175,95.8543305232421,94.170765404808,98.1887439498188,89.0878542190548,88.2532247038652,86.5326439099745,86.3594875814748,93.4926829268293,91.4774268447492,79.0004690073405,82.619975491549,80.7131265434912
Belarus,https://dynamospanish.com/wp-content/uploads/flags/images/Belarus/2/large/Belarus.png,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6073903002309,66.6666666666667,117.391304347826,150.964467005076,155.375709548699,103.718194772782,96.7748997857579,125.516179156558,122.957697735989,120.835117829629,141.609165955024,137.044930473063,131.002058282291,134.141852273225,142.136510387704,118.88435169233,124.295103889386,128.153877979073,129.599478545475,112.310338455001,115.917972989303,157.974255073313,153.085269313372,119.815965235724,110.651424367582,115.914826201946,125.209322899662,133.552315136075
Belgium,https://dynamospanish.com/wp-content/uploads/flags/images/Belgium/2/large/Belgium.png,Europe,76.3013658733824,78.8184721341105,81.1576432460471,84.3825837561852,85.3268781038424,83.9900692062356,88.0357457342498,84.9542938596995,89.2725658349821,96.4912899323802,87.0758025041546,84.9490549800667,84.5787180649479,93.4462479046126,104.495768978865,90.8501180613793,96.1032781185445,94.9763496102847,91.6365514233163,100.831741990439,102.306683920574,109.417686161341,117.06390427629,119.509460317824,127.286436050737,122.963339106446,111.494554813514,109.105628431747,115.55989903239,124.011913158749,120.56967271465,117.712773234039,114.215711339517,108.201663534969,112.388936950299,115.511365408443,118.060093802792,124.366693263271,123.484495687655,123.99724026107,141.079071496619,138.694465221206,135.124884981773,131.990312645394,136.037833248748,143.376220942029,147.693901435153,151.163621858795,158.908045084263,136.356757863313,151.100176526737,162.753665660528,163.994977033554,162.218643125169,164.710002339658,160.229325319499,164.544702629143,169.402711456732
Belize,https://dynamospanish.com/wp-content/uploads/flags/images/Belize/2/large/Belize.png,Latin America & the Caribbean,,,,,,,,,,,,,,,,,,,,,123.95378690629,128.745463970969,118.549511854951,114.074074074074,132.598387861546,109.777671527612,113.649330700022,123.051889350931,129.866624325183,128.872366790582,122.285437598354,119.119694774755,102.638733742784,96.8752090372876,102.270110871105,97.0720178849822,100.269300534251,108.486456089493,109.509168061276,122.41125289473,126.641616364056,119.967572797761,118.690451367396,119.121744960906,109.074108648191,117.353301636195,122.783107328688,122.307018725165,132.024217880257,107.847214262087,115.684327568387,123.198480220922,125.390671902198,128.097103893877,126.625175060046,123.574386489442,110.198639014167,112.840043525571
Benin,https://dynamospanish.com/wp-content/uploads/flags/images/Benin/2/large/Benin.png,Africa,18.2341998166072,14.1181216852278,13.4771276576628,15.447259020027,17.3805034251725,22.1732736350777,23.0426078397633,27.4380883208416,28.4112293667841,33.2017249500644,39.6379034467417,45.6184127164884,41.1845516067007,41.6121426133332,43.8114045020463,47.9412279615522,44.0197577086964,50.9596855186593,51.0704526504407,54.5381681535616,53.1386195994861,59.8893720979652,57.8573353739462,45.3420118908271,50.5113034919755,60.3012179781571,49.2914176982042,46.2181352147978,45.8868280290306,38.3003673589405,45.7201821451396,51.3447168355486,56.7407458048553,55.3817991336605,64.4004792535565,63.800140010475,56.5177914456367,58.7116296113966,59.5936252981433,64.6700078497675,55.99169035644,57.2759199877844,51.4842649131048,48.7223543924575,46.3702587289626,45.8165601073486,46.8518725129235,57.8049632995456,56.4979180363796,52.7005251850084,60.9929899774057,55.5760468648297,59.6693976598352,69.4546981720121,76.5288050838629,68.0186793914923,71.3146787910156,79.3859918890312
