country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Saudi Arabia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/saudi-arabia/flag-button-round-250.png,0.061,"","","","",0.106,"","","","",0.134,"","","","","","","","","","",0.55,"","","","",1.346,"","","",1.433,"","",1.335,"","","",1.66,"","",0.699,0.657,"","",1.37,"","",1.622,1.997,2.017,2.35,2.416,2.425,"",2.568,"",""
Senegal,Africa,https://cdn.countryflags.com/thumbs/senegal/flag-button-round-250.png,0.044,"","","","",0.051,"","","","",0.063,"","","","",0.061,"","","","","",0.079,0.077,"","","","","","","",0.055,"",0.068,"",0.096,0.075,0.093,0.093,0.095,"","","","","",0.054,"","","",0.061,"",0.059,"","","","","",0.068
Serbia,Europe,https://cdn2.iconfinder.com/data/icons/world-flag-icons/256/Flag_of_Serbia.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.99,2.035,"",2.292,2.463,2.484,2.484,2.489,2.463,"",""
Seychelles,Africa,https://cdn.countryflags.com/thumbs/seychelles/flag-button-round-250.png,0.312,"","","","","","","","","",0.224,"","","","",0.218,"","","","","","","",0.407,"",0.445,"","","","","","","",1.027,"","",1.324,"","","","","","","",1.385,1.172,0.834,1.002,0.764,1.115,1.074,1.141,0.984,"","","",""
Sierra Leone,Africa,https://cdn.countryflags.com/thumbs/sierra-leone/flag-button-round-250.png,0.047,"","","","",0.059,"","","","",0.056,"","","","",0.054,"","","","",0.058,0.053,"","",0.075,"","","","","","","","","","","",0.073,"","","","","","","",0.034,"","","",0.017,"",0.024,"","","","","",""
Singapore,Asia & the Pacific,https://cdn.countryflags.com/thumbs/singapore/flag-button-round-250.png,0.42,"","","","",0.526,"","","","",0.657,"","","","",0.667,"","","","",0.851,0.877,"","","",0.998,0.723,"",1.111,"",1.266,1.32,1.348,1.385,1.411,"","","",1.627,1.393,"",1.428,"",1.5,1.484,1.501,1.502,1.56,1.617,1.676,1.736,1.747,1.82,1.913,"","",2.276
Slovakia,Europe,https://cdn.countryflags.com/thumbs/slovakia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.2,3.1,3.1,3.179,3.12,"","",3.005,"",3.295,"","","",3.387,"",3.45,""
Slovenia,Europe,https://cdn.countryflags.com/thumbs/slovenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",1.771,"",1.843,"",1.861,1.879,1.882,2.004,2.024,2.063,1.99,2.079,2.091,2.03,2.19,2.121,2.135,2.147,2.178,2.135,2.17,2.194,2.253,"","",2.4,2.424,"",2.473,"",2.426,2.487,2.534,2.623,2.765,2.82,""
Solomon Islands,Asia & the Pacific,https://cdn.countryflags.com/thumbs/solomon-islands/flag-button-round-250.png,0.186,"","","","","","","","","",0.205,"","","","","","","","","","","","","","","",0.135,"","",0.152,"","",0.157,"","",0.14,"","","",0.135,"","","",0.134,"",0.19,"","",0.177,"",0.224,0.203,0.157,0.191,"","",""
Somalia,Africa,https://cdn.countryflags.com/thumbs/somalia/flag-button-round-250.png,0.024,"","","","",0.027,"","","","",0.037,"","","","",0.038,"","","","",0.046,0.041,"","",0.071,"","","","","","","","",0.042,"","","",0.04,"","","","","","","","",0.035,"","","",0.035,"","","",0.029,"",""
South Africa,Africa,https://cdn.countryflags.com/thumbs/south-africa/flag-button-round-250.png,"","","","","",0.488,"","","","","","","","","",0.539,"","",0.551,"","","","","","","","",0.613,"","","","",0.624,"","","",0.593,"","","","","","","",0.731,"","","","","",0.728,0.715,0.725,0.742,0.756,0.767,0.818
South Korea,Asia & the Pacific,https://cdn.countryflags.com/thumbs/south-korea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1.0,1.0,1.1,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.573,1.733,1.793,1.842,1.898,1.96,2.017,2.002,2.054,2.099,2.185,2.231,2.273,2.326
South Sudan,Africa,https://www.worldatlas.com/r/w728-h425-c728x425/upload/b1/9f/c9/ss-flag.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Spain,Europe,https://cdn.countryflags.com/thumbs/spain/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.795,3.902,3.962,4.031,4.089,4.09,4.152,4.206,4.271,4.33,4.393,4.376,4.446,4.489,4.51,4.541,4.56,4.603,4.67,4.731,3.756,3.838,3.835,3.824,3.819,3.872,""
Sri Lanka,Asia & the Pacific,https://cdn.countryflags.com/thumbs/sri-lanka/flag-button-round-250.png,0.223,"","","","",0.172,"","","","",0.169,"","","","",0.169,"","","","",0.139,0.134,0.134,"","",0.181,0.138,"","",0.146,"",0.139,0.165,0.207,0.185,0.222,0.278,0.305,0.346,0.375,0.424,0.443,"","",0.541,0.522,0.523,0.556,0.626,0.684,0.726,"","","","",0.881,""
Sudan,Africa,https://cdn.countryflags.com/thumbs/sudan/flag-button-round-250.png,0.03,"","","","",0.041,"","","","",0.068,"","","","",0.068,"","","","",0.11,0.101,"","",0.096,"",0.09,"","","","","","","",0.105,"",0.09,"","","",0.158,"","","",0.242,"",0.338,0.337,0.314,"",0.28,"","","","","",""
Suriname,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/suriname/flag-button-round-250.png,0.51,"","","","","","","","","",0.465,"","","","","","","","","","","","","",0.791,"","","","","",0.75,"","",0.762,"",0.75,0.252,"","","",0.397,"","","",0.817,"","","","","","","","","","","",""
Swaziland,Africa,https://cdn.countryflags.com/thumbs/swaziland/flag-button-round-250.png,0.104,"","","","","","","","","",0.124,"","","","","","","","","","","","",0.053,"","","","","","",0.108,"","","","","",0.151,"","","","",0.167,"",0.147,0.156,"","","","",0.147,"","","","","","",""
Sweden,Europe,https://cdn.countryflags.com/thumbs/sweden/flag-button-round-250.png,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2.0,2.0,2.2,2.3,2.3,2.4,2.6,2.6,2.8,2.8,2.8,2.8,2.9,"",2.7,2.7,2.8,2.9,2.9,2.9,3.0,3.0,3.1,3.2,3.284,"",3.28,"",3.583,3.244,3.77,3.868,3.893,3.963,4.038,4.119,4.188,"",""
Switzerland,Europe,https://cdn.countryflags.com/thumbs/switzerland/flag-button-round-250.png,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.4,2.5,2.6,2.6,2.6,2.6,2.7,2.8,2.9,3.0,2.9,3.0,3.0,3.0,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.5,3.5,3.615,"","","",3.97,"","","",3.806,3.826,3.903,4.025,4.114,4.189,4.248
Syria,Asia & the Pacific,https://cdn.countryflags.com/thumbs/syria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Taiwan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/taiwan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Tajikistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/tajikistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","",2.527,2.556,2.582,2.697,2.678,2.551,2.614,2.266,2.177,2.254,2.136,2.086,2.023,2.088,2.127,2.182,2.134,2.047,1.942,1.95,1.95,1.909,1.886,1.917,"",1.685,1.708,1.715,1.698,1.714,"",""
Tanzania,Africa,https://cdn.countryflags.com/thumbs/tanzania/flag-button-round-250.png,0.055,0.04,"","","",0.045,"","","","",0.044,"","","","",0.044,"","","","","","","","",0.039,0.035,"",0.039,"","","","","","",0.042,0.041,"","","","","","",0.023,"","","","","","","",0.008,"",0.03,"",0.022,"",""
Thailand,Asia & the Pacific,https://cdn.countryflags.com/thumbs/thailand/flag-button-round-250.png,0.129,"","","","",0.14,"","","","",0.121,"","","","",0.119,"","","","",0.147,0.146,"",0.16,0.16,0.169,0.182,0.181,0.21,0.233,0.225,0.224,0.234,0.234,0.238,0.239,0.269,0.274,0.293,0.293,0.368,0.299,0.296,0.277,0.289,0.293,0.286,0.295,0.317,0.34,0.394,"","","","",0.47,""
Timor,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197410.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.082,"","",0.034,0.037,0.044,0.079,0.078,"","","","",""
Togo,Africa,https://cdn.countryflags.com/thumbs/togo/flag-button-round-250.png,0.021,"","","","",0.043,"","","","",0.035,"","","","",0.035,"","","","",0.055,0.049,"","",0.117,"",0.085,"","","","",0.088,"","",0.056,0.076,"","","","","",0.057,"","",0.045,"","",0.049,0.058,"",0.053,"","","","","",""
Tonga,Asia & the Pacific,https://cdn.countryflags.com/thumbs/tonga/flag-button-round-250.png,0.375,"","","","","","","","","",0.256,"","","","","","","","","",0.362,0.602,0.6,"","","","","","",0.492,"",0.508,"","","","","",0.44,"","",0.499,0.356,0.303,"","","","",0.563,0.554,0.599,0.558,"","","","","",""
Trinidad & T.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/trinidad-and-tobago/flag-button-round-250.png,0.418,"","","","",0.262,"","","","",0.445,"","","","",0.454,"","","","",0.726,0.673,"","",1.043,"","","","","",0.72,0.732,"",0.658,0.788,0.943,0.761,0.753,0.939,0.926,1.006,0.97,0.825,0.808,"","",1.222,1.179,"",1.507,1.809,1.821,"","","","",""
Tunisia,Africa,https://cdn.countryflags.com/thumbs/tunisia/flag-button-round-250.png,0.1,"","","","",0.125,"","","","",0.169,"","","","",0.169,"","","","",0.271,0.275,"","","","",0.461,"","","",0.537,0.535,0.593,0.598,0.597,0.654,0.667,0.689,0.718,0.744,0.767,0.794,0.807,0.824,1.331,0.933,"",1.025,1.108,"",1.222,"","","",1.269,1.289,""
Turkey,Asia & the Pacific,https://cdn.countryflags.com/thumbs/turkey/flag-button-round-250.png,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.938,0.97,1.021,1.077,1.143,1.185,1.193,1.22,1.261,1.316,1.348,1.399,1.412,1.43,1.45,1.486,1.521,1.559,1.609,1.665,1.707,1.714,1.734,1.755,1.749,"",""
Turkmenistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/turkmenistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",2.839,"","","","",3.304,3.44,3.527,3.55,3.6,3.614,3.673,3.589,3.57,3.535,3.17,3.222,3.171,"","","","",4.355,"","","",2.49,2.438,"","",2.295,2.314,2.279,2.266,2.291,"",""
Tuvalu,Asia & the Pacific,https://cdn.countryflags.com/thumbs/tuvalu/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.63,1.043,"","","","",1.021,1.223,1.091,"","","","","",""
Uganda,Africa,https://cdn.countryflags.com/thumbs/uganda/flag-button-round-250.png,0.074,"","","","",0.09,"","","","",0.108,"","","","",0.108,"","","","","",0.047,0.046,"",0.044,"","","","",0.045,"","","",0.04,"","","","","","","","",0.047,"",0.081,0.12,"","","","",0.117,"","","","",0.093,""
Ukraine,Europe,https://cdn.countryflags.com/thumbs/ukraine/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",3.515,3.631,3.741,3.82,3.909,4.002,4.06,4.143,4.2,4.275,4.29,4.345,4.297,4.342,4.314,4.407,2.992,2.97,2.99,2.986,2.978,"","",2.951,"","",3.125,"","","",3.494,3.495,3.501,3.506,3.0,"",""
U.A.E,Asia & the Pacific,https://cdn.countryflags.com/thumbs/united-arab-emirates/flag-button-round-250.png,"","","","","","","","","","",0.909,"","","","","","","","","",1.068,"","","",0.953,"","","","","","","","","","","","","","","","",1.81,"","","",1.55,"",1.533,1.929,1.558,1.531,"","","",1.558,"",""
U.K,Europe,https://cdn.countryflags.com/thumbs/united-kingdom/flag-button-round-250.png,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,2.294,1.9,1.9,1.9,2.0,2.3,2.2,"","","","","","",2.697,2.745,2.757,2.778,2.806,2.807,2.825
U.S.A,North America,https://cdn.countryflags.com/thumbs/united-states-of-america/flag-button-round-250.png,1.1,"","","","",1.2,"","","","",1.2,"","","","",1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,"",1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9,"",2.428,2.0,2.1,2.1,2.2,2.583,2.2,2.3,"",2.704,"",2.402,2.41,2.416,2.422,2.429,2.458,2.492,2.554,2.568,"",""
Uruguay,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/uruguay/flag-button-round-250.png,1.064,"","","","",1.136,"","","","",1.093,"","","","",1.111,"","","","","",1.997,"","",1.926,1.947,"","","","",3.68,"",3.226,"","",3.56,3.703,"","",3.745,"","",3.721,"","","","",4.181,3.938,"",3.736,"","","","","",""
Uzbekistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/uzbekistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",2.669,"","","","",2.694,3.255,3.319,3.364,3.386,3.388,3.425,3.321,3.338,3.295,3.239,3.171,3.115,3.085,2.975,2.946,2.885,"",2.745,"",2.65,"",2.617,"",2.561,2.614,2.576,2.518,2.479,2.451,"",""
Vanuatu,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197489.svg,0.277,"","","","","","","","","",0.301,"","","","","","","","","",0.191,0.189,"","","","",0.204,"","",0.125,"",0.099,"","","","","",0.114,"","","","","","",0.147,"","",0.118,0.115,"",0.116,"",0.186,"","","",""
Vatican,Europe,https://cdn.countryflags.com/thumbs/vatican-city/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Venezuela,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/venezuela/flag-button-round-250.png,0.666,"","","","",0.815,"","","","",0.883,"","","",0.904,0.904,0.904,"","","",0.83,0.996,0.833,"",1.436,1.196,1.399,1.401,1.6,1.695,1.564,"","","","",1.94,"","","","","",1.925,"","","","","","","","","","","","","","",""
Vietnam,Asia & the Pacific,https://cdn.countryflags.com/thumbs/vietnam/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",0.241,0.247,"","","","",1.056,"","",0.391,0.404,0.407,0.437,"","","","",0.569,0.48,0.515,"",0.522,0.549,"","",0.611,0.621,0.639,0.662,0.695,0.695,1.152,0.816,1.18,0.777,0.79,0.821
Yemen,Asia & the Pacific,https://cdn.countryflags.com/thumbs/yemen/flag-button-round-250.png,0.023,"","","","",0.032,"","","","",0.029,"","","","","","","","","","",0.145,"","","",0.171,"","","","",0.007,"","","","",0.247,0.23,0.233,0.2,"","",0.219,"","",0.338,"","","",0.31,0.31,"","","","",0.311,"",""
Zambia,Africa,https://cdn.countryflags.com/thumbs/zambia/flag-button-round-250.png,0.107,"","","","",0.088,"","","","",0.073,"","","","",0.074,"","","","",0.076,0.126,"",0.14,"",0.141,"","","","",0.092,"","","","",0.069,"","","","","","","","",0.128,0.054,0.052,"",0.061,0.059,0.06,0.161,0.162,"","","",0.091
Zimbabwe,Africa,https://cdn.countryflags.com/thumbs/zimbabwe/flag-button-round-250.png,0.202,"","","","",0.125,"","","","",0.162,"","","","",0.158,"","","","",0.161,0.139,"","","",0.162,"",0.135,"","",0.126,"","","","",0.14,"","","","","","",0.057,"",0.162,"","",0.05,0.055,0.06,0.066,0.074,0.073,0.075,0.077,"",""
[WORLD AVERAGE],World,https://webcomicms.net/sites/default/files/clipart/128927/axis-cliparts-128927-7947916.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.25825872644808,"","","","","","","","","",1.28895390127724,"","","","","","","","","","","","",1.4890209888016,"","",""
