country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,0.559,"","","","",0.473,"","","","",0.463,"","","","","","","","",0.516,"","","","",0.817,"","","","","",1.1,1.066,1.006,"",1.103,1.08,"","",1.153,"","","",0.9,0.954,0.991,0.986,1.045,1.041,1.043,1.033,"","","","","","",""
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,"","","","","",1.07,0.96,0.94,0.91,0.88,0.86,0.85,0.86,0.89,0.92,0.96,1.0,1.03,1.08,1.12,1.18,1.25,1.3,1.32,1.33,1.34,1.35,1.37,1.47,1.54,1.123,1.55,1.55,1.55,1.58,1.179,1.185,1.2,1.199,1.23,1.255,1.055,1.133,"","","","","","",1.421,1.462,1.5,1.569,1.668,1.724,1.812,""
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,0.354,"","","","",0.377,"","","","",0.42,"","","","","","",0.478,"","","","","","",0.758,"",0.808,"",0.873,"",0.98,1.026,1.07,1.112,1.14,"",1.199,1.233,1.268,1.3,"","",1.413,"","",1.451,1.474,1.497,1.521,1.544,1.568,1.669,1.713,1.766,1.821,"",""
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","",0.084,"","","",0.163,"",0.113,"",0.127,"","","","",0.074,"","","","","","",0.19,"","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,0.06,"","","","",0.068,"","","","",0.101,"","","","","","","",0.174,"","","",0.119,"","",0.252,0.252,"","","",0.276,"","","","",0.251,"","",0.73,"","","","","",0.222,"",0.217,0.108,"","",0.095,"","","","","",""
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,0.391,"","","","",0.517,"","","","",0.614,"","","","","","","","",0.679,"","","","",0.99,"","",0.968,0.881,"",1.26,"","",0.883,0.845,0.854,0.864,0.872,0.901,1.719,1.326,"","","","","","","","","","","","",1.15,"","",""
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,0.033,"","","","",0.048,"","","","",0.064,"","","","","","","","","","","","","","",0.071,"","","","",0.088,"","","","","",0.09,"","","","","","","",0.117,0.094,"","",0.143,"",0.144,"","","","","",""
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",1.673,1.738,1.808,1.858,1.88,1.944,2.016,2.066,2.093,2.134,2.125,1.954,1.996,1.976,1.962,1.969,2.06,2.055,1.915,1.806,2.383,2.374,2.4,2.444,2.4,2.5,2.47,2.59,2.661,"",2.851,2.903,2.979,3.021,3.126,"",""
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,0.946,"","","","",0.876,"","","","",0.822,"","","","","","","","","","",1.388,"","",1.886,"","","",3.0,"",3.656,3.998,4.365,4.727,4.981,5.211,5.489,5.693,5.749,5.854,5.937,5.948,5.997,6.065,6.202,6.269,6.34,6.418,6.603,6.628,6.766,6.943,7.235,7.366,7.519,"",""
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,0.682,"","","","","","","","","",0.802,"","","","","","","","","",0.916,0.973,"","","","",1.393,1.38,"","",1.564,"","","","",1.879,2.55,"","",2.119,"","","","","","","",2.016,2.059,2.121,2.174,2.265,2.308,2.412,2.496,"",""
Czech Rep.,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,"","","","","","","","","","",1.8,1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.9,2.9,3.0,3.0,3.1,3.0,3.1,3.4,3.4,3.5,3.513,"","",3.58,3.61,3.625,"",3.585,3.624,3.663,3.677,"","",""
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,0.015,"","","","",0.028,"","","","",0.035,"","","","",0.036,"","","",0.073,"","","","","","","",0.075,"","",0.066,"","","","","",0.069,"","","","","","","",0.107,"","","","",0.091,"","","","","","",""
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",1.8,1.8,2.0,2.1,2.3,2.3,2.3,2.3,2.4,2.5,2.5,2.4,2.6,2.6,2.898,2.903,2.6,2.916,2.8,"","",3.66,2.925,3.001,3.045,3.202,3.163,3.419,3.395,3.403,3.582,3.622,3.652,3.648,3.655,"",""
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,0.157,"","","","","","","","","",0.284,"","","","","","","","","","",0.224,"","",0.238,"","","","","",0.162,"","","","",0.191,0.14,"","",0.131,"","","","",0.168,0.18,0.234,"","","",0.229,"","","",0.229,"",""
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,0.133,"","","","","","","","","",0.161,"","","","","","","","","","","","","",0.339,"","","","","",0.46,0.528,"","","",0.47,0.493,0.537,"","","",1.78,"","","","","","","","","","","","","","",""
Dominican Rep.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,0.121,"","","","",0.588,"","","","","","","","","",0.435,"","","","","","","","",0.564,"","","",1.074,"",1.49,"","",1.054,"",1.5,"",2.156,"","",1.83,"","","","","","","",1.078,"","",1.494,"","","","",""
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,0.396,"","","","",0.335,"","","","",0.348,"","","","",0.351,"",0.637,"","","","","","",1.244,"","","","","",0.958,1.167,1.201,1.109,1.275,1.247,1.317,1.33,1.317,1.377,1.452,1.551,1.575,1.506,"","","","","",1.607,1.687,1.665,"","","","",""
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,0.391,"","","","",0.435,"","","","",0.527,"","","","",0.536,"","","","",1.065,1.364,1.365,"","","",1.304,"","","",0.76,"","","",1.84,"",2.02,1.6,"","",2.118,"","",0.533,"",2.401,"",2.604,"",2.804,2.83,"","","",0.814,"",""
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,0.187,"","","","","","","","","",0.243,"","","","",0.242,"","","","",0.326,0.387,"","",0.352,"","","",0.647,"",0.84,"","",0.66,"",0.91,"",1.071,"",1.258,1.211,"",1.351,"","",1.741,1.5,"",1.922,"",1.596,"","","","","",""
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,0.167,"","","","","","","","","",0.086,"","","","","","","","","","","","","","","","","","","",0.281,"","","","",0.208,0.246,"","","","","","","",0.252,"","","","","","","","","","","",""
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.019,"","",0.03,"","","","","","","",0.053,"","","","","","","","","","","",""
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",2.938,"","","","",3.35,3.408,3.484,3.485,3.49,3.504,3.536,3.264,3.207,3.2,3.191,3.148,3.114,3.11,3.206,4.373,3.16,"","","","",3.33,"",3.409,"",3.242,3.292,3.28,3.277,3.316,3.43,""
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,0.009,"","","","",0.014,"","","","",0.012,"","","","",0.012,"","","","",0.011,0.011,"","",0.013,"","","",0.031,"","","","","",0.029,"",0.025,0.023,0.021,0.02,0.021,0.028,0.029,0.027,0.027,0.032,0.027,0.022,0.025,0.025,0.022,"","","","","",""
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,0.495,"","","","","","","","","",0.471,"","","","",0.476,"","","","",0.448,"",0.494,"","","","","","",0.358,"","",0.472,"",0.376,"","",0.476,0.357,0.336,"","","",0.465,"","","","",0.4,0.437,0.426,"","","","",0.837,""
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.6,3.162,2.6,"","",3.3,3.319,2.735,2.881,2.986,2.982,3.063,3.139,3.196,"",""
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,"","","","","","","","","","",1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.1,2.5,2.7,2.8,2.8,2.9,3.0,3.1,3.067,"","","","",3.225,"","","","","","","","","","",3.674,"","","",3.16,3.175,3.187,3.215,3.227,3.238
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,0.117,"","","","","","","","","",0.191,"","","","","","","","","","",0.457,"",0.433,"",0.518,"","",0.246,0.494,"",0.193,"",0.218,0.262,0.295,"","","","","","","","",0.293,"","","","","","","","","","","",0.406
