Entity,Code,Date,Value
Asia,ASA,"Mar 25, 2020",5607
Asia,ASA,"Mar 26, 2020",5800
Asia,ASA,"Mar 27, 2020",6041
Asia,ASA,"Mar 28, 2020",6244
Asia,ASA,"Mar 29, 2020",6470
Asia,ASA,"Mar 30, 2020",6670
Asia,ASA,"Mar 31, 2020",6889
Asia,ASA,"Apr 1, 2020",7124
Asia,ASA,"Apr 2, 2020",7402
Asia,ASA,"Apr 3, 2020",7697
Asia,ASA,"Apr 4, 2020",7847
Asia,ASA,"Apr 5, 2020",8291
Asia,ASA,"Apr 6, 2020",8619
Asia,ASA,"Apr 7, 2020",8898
Asia,ASA,"Apr 8, 2020",9214
Asia,ASA,"Apr 9, 2020",9502
Asia,ASA,"Apr 10, 2020",9853
Asia,ASA,"Apr 11, 2020",10182
Asia,ASA,"Apr 12, 2020",10568
Asia,ASA,"Apr 13, 2020",10956
Asia,ASA,"Apr 14, 2020",11298
Asia,ASA,"Apr 15, 2020",11687
Asia,ASA,"Apr 16, 2020",12027
Asia,ASA,"Apr 17, 2020",13658
Asia,ASA,"Apr 18, 2020",14022
Asia,ASA,"Apr 19, 2020",14331
Asia,ASA,"Apr 20, 2020",14708
Asia,ASA,"Apr 21, 2020",15059
Asia,ASA,"Apr 22, 2020",15404
Asia,ASA,"Apr 23, 2020",15830
Asia,ASA,"Apr 24, 2020",16191
Asia,ASA,"Apr 25, 2020",16572
Asia,ASA,"Apr 26, 2020",16919
Europe,EUR,"Dec 31, 2019",0
Europe,EUR,"Jan 1, 2020",0
Europe,EUR,"Jan 2, 2020",0
Europe,EUR,"Jan 3, 2020",0
Europe,EUR,"Jan 4, 2020",0
Europe,EUR,"Jan 5, 2020",0
Europe,EUR,"Jan 6, 2020",0
Europe,EUR,"Jan 7, 2020",0
Europe,EUR,"Jan 8, 2020",0
Europe,EUR,"Jan 9, 2020",0
Europe,EUR,"Jan 10, 2020",0
Europe,EUR,"Jan 11, 2020",0
Europe,EUR,"Jan 12, 2020",0
Europe,EUR,"Jan 13, 2020",0
Europe,EUR,"Jan 14, 2020",0
Europe,EUR,"Jan 15, 2020",0
Europe,EUR,"Jan 16, 2020",0
Europe,EUR,"Jan 17, 2020",0
Europe,EUR,"Jan 18, 2020",0
Europe,EUR,"Jan 19, 2020",0
Europe,EUR,"Jan 20, 2020",0
Europe,EUR,"Jan 21, 2020",0
Europe,EUR,"Jan 22, 2020",0
Europe,EUR,"Jan 23, 2020",0
Europe,EUR,"Jan 24, 2020",0
Europe,EUR,"Jan 25, 2020",0
Europe,EUR,"Jan 26, 2020",0
Europe,EUR,"Jan 27, 2020",0
Europe,EUR,"Jan 28, 2020",0
Europe,EUR,"Jan 29, 2020",0
Europe,EUR,"Jan 30, 2020",0
Europe,EUR,"Jan 31, 2020",0
Europe,EUR,"Feb 1, 2020",0
Europe,EUR,"Feb 2, 2020",0
Europe,EUR,"Feb 3, 2020",0
Europe,EUR,"Feb 4, 2020",0
Europe,EUR,"Feb 5, 2020",0
Europe,EUR,"Feb 6, 2020",0
Europe,EUR,"Feb 7, 2020",0
Europe,EUR,"Feb 8, 2020",0
Europe,EUR,"Feb 9, 2020",0
Europe,EUR,"Feb 10, 2020",0
Europe,EUR,"Feb 11, 2020",0
Europe,EUR,"Feb 12, 2020",0
Europe,EUR,"Feb 13, 2020",0
Europe,EUR,"Feb 14, 2020",0
Europe,EUR,"Feb 15, 2020",1
Europe,EUR,"Feb 16, 2020",1
Europe,EUR,"Feb 17, 2020",1
Europe,EUR,"Feb 18, 2020",1
Europe,EUR,"Feb 19, 2020",1
Europe,EUR,"Feb 20, 2020",1
Europe,EUR,"Feb 21, 2020",1
Europe,EUR,"Feb 22, 2020",1
Europe,EUR,"Feb 23, 2020",3
Europe,EUR,"Feb 24, 2020",3
Europe,EUR,"Feb 25, 2020",7
Europe,EUR,"Feb 26, 2020",12
Europe,EUR,"Feb 27, 2020",14
Europe,EUR,"Feb 28, 2020",19
Europe,EUR,"Feb 29, 2020",23
Europe,EUR,"Mar 1, 2020",31
Europe,EUR,"Mar 2, 2020",38
Europe,EUR,"Mar 3, 2020",56
Europe,EUR,"Mar 4, 2020",85
Europe,EUR,"Mar 5, 2020",113
Europe,EUR,"Mar 6, 2020",161
Europe,EUR,"Mar 7, 2020",215
Europe,EUR,"Mar 8, 2020",253
