country,category,url,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6729,"",7785,8333,9267,10191,11160,12210,13352,14375,15385,16418,"",17423,20109,21364,"",24057,""
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,62,84,113,149,184,255,284,304,368,425,490,621,804,967,1462,1767,1958,2497,2848,3240,3877,4037,4532,5935,6982,8121,9374,10409,11260,12413,14390,15762,18268,19800,20986,21845,23524,24797,26402,27868,29438,30333,30742,32250,33956,36007,37579,39596,40318,40917,42204,43624,45169,46271,47322,47925,48395,49504,51175,52736,53767
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","","","","","","","","","","","","","","","",79,"","","","",392,"","",576,"",718,"","","",1013,1083,"",1222,"",1843,2007,2271,2496,2790,"","",3863,4110,4557,4988,5389,"","","","",8698,"",10736,11669,12688,"",14588,15668,16434,17842
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,398,"",449,534,614,719,739,753,875,1003,1166,1515,1924,2510,3154,3966,5083,6098,6874,8142,9737,10789,12108,13687,15536,17373,19378,20585,21168,22249,23334,24901,27137,28804,32013,33639,35567,37646,40907,43313,46537,47840,49416,50320,51481,53752,57182,59859,63409,65715,67453,70887,74950,78464,82551,85481,87900,90191,93076,96558,97593
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,2451,2887,3594,4803,6046,7695,9495,11071,12667,15018,"","","","",36747,"","","","","","","","",107546,"","","","","","",224254,"","","","","","",333807,"","","","","","",463662,"","","","","","",595154,"","","","","","",724574,"",""
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,"","","","","","","",124716,"","","","","","",252173,"","","","","","",600792,"","","","","","",962307,"","","","","","",1370655,"","","","","","",1749888,"","","","","","",2079915,"","","","","","",2547052,"","","",""
Ghana,Africa,https://cdn.countryflags.com/thumbs/ghana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",2519,"","","","","","","","","","","","",27346,37954,"",44421,50719,"","","",60916,68591,88188,"","","","",100622,"",106090,113497,"",""
Gibraltar,Europe,https://image.flaticon.com/icons/svg/197/197451.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,"","",570,"","","","","","","","",2180,2700,3400,4000,4320,"",6000,"","",8000,"","","",10000,"",13477,14363,15151,15961,16732,17350,18844,22437,"",25453,26193,28584,32528,33634,35432,37344,42261,43417,48798,50771,"","",53290,"",54344,55666,56944,59241,61407,63087,64608,66094,69833,72130,75170
Greenland,North America,https://image.flaticon.com/icons/svg/197/197453.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
