country,url,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cameroon,https://dynamospanish.com/wp-content/uploads/flags/images/Cameroon/2/large/Cameroon.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,9,12,17,24,32,41,43,51,62,72,76,79,79,81
Canada,https://dynamospanish.com/wp-content/uploads/flags/images/Canada/2/large/Canada.png,0,0,0,0,0,0,0,0,0,1,2,2,3,4,6,8,11,14,17,22,28,34,37,42,47,52,57,61,66,70,75,77,79,80,80,82,84,85
Cape Verde,https://dynamospanish.com/wp-content/uploads/flags/images/Cape_Verde/2/large/Cape_Verde.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,9,11,14,17,22,31,56,58,74,78,82,96,116,114,111,112
Central African Republic,https://dynamospanish.com/wp-content/uploads/flags/images/Central_African_Republic/2/large/Central_African_Republic.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,7,13,19,22,22,25,30,25,27,27,0
Chad,https://dynamospanish.com/wp-content/uploads/flags/images/Chad/2/large/Chad.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,14,19,24,29,34,34,38,39,38,0
Chile,https://dynamospanish.com/wp-content/uploads/flags/images/Chile/2/large/Chile.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,14,22,33,39,46,57,65,76,84,88,97,116,130,138,135,134,130,130,127
China,https://dynamospanish.com/wp-content/uploads/flags/images/China/2/large/China.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,11,15,20,25,29,34,40,47,55,63,72,80,88,92,92,97,104
Colombia,https://dynamospanish.com/wp-content/uploads/flags/images/Colombia/2/large/Colombia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,5,7,11,14,24,50,67,76,92,92,96,99,104,106,115,118,120,126
Comoros,https://dynamospanish.com/wp-content/uploads/flags/images/Comoros/2/large/Comoros.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,9,13,18,23,30,39,46,50,54,57,54
Congo,https://dynamospanish.com/wp-content/uploads/flags/images/Democratic_Republic_of_the_Congo/2/large/Democratic_Republic_of_the_Congo.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,9,10,15,23,32,43,69,84,86,92,98,101,104,105,96
Costa Rica,https://dynamospanish.com/wp-content/uploads/flags/images/Costa_Rica/2/large/Costa_Rica.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,8,12,18,22,25,33,34,42,43,68,90,115,151,147,156,171,180
Cote d'Ivoire,https://dynamospanish.com/wp-content/uploads/flags/images/Cote_d'Ivoire/2/large/Cote_d'Ivoire.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,7,9,12,21,39,53,66,76,83,84,88,98,109,115,130
Croatia,https://dynamospanish.com/wp-content/uploads/flags/images/Croatia/2/large/Croatia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,23,39,52,57,64,83,100,115,104,107,113,118,115,110,104,104,104,103
Cuba,https://dynamospanish.com/wp-content/uploads/flags/images/Cuba/2/large/Cuba.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,8,11,14,17,22,29,34,40
Cyprus,https://dynamospanish.com/wp-content/uploads/flags/images/Cyprus/2/large/Cyprus.png,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,8,10,12,16,23,32,42,55,64,75,82,92,129,121,124,128,128,127,130,131,133,138
