country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,1.0,7.0,0.0,"",1.0,1.0,0.0,3.0,4.0,1.0,7.0,1.0,4.0,7.0,22.0,13.0,7.0,15.0,11.0,8.0,8.0,9.0,7.0,18.0,26.0,11.0,16.0,54.0,4.0,8.0,24.0,30.0,24.0,43.0,44.0,24.0,28.0,27.0,44.0,34.0
Bosnia & Herzegovina,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,"","","","","",1.0,0.0,"","",15.0,3.0,0.0,15.0,8.0,0.0,48.0,33.0,4.0,33.0,19.0,0.0,48.0,28.0,66.0,30.0,60.0,51.0,68.0,54.0,46.0,31.0,32.0,86.0,35.0,59.0,26.0,47.0,59.0,21.0,45.0,27.0,52.0,58.0,44.0,15.0,216.0
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,12.0,0.0,9.0,18.0,25.0,21.0,23.0,79.0,34.0,57.0,137.0,193.0,283.0,224.0,418.0,345.0,310.0,232.0,482.0,502.0,487.0,352.0,323.0,1138.0,1119.0,1074.0,1146.0,1222.0,852.0,926.0,1661.0,2210.0,1930.0,1781.0,1089.0,1442.0,1261.0,1832.0,3058.0,2105.0,3257.0,2917.0,2055.0,1927.0
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"",10.0,14.0,12.0,3.0,10.0,4.0,2.0,12.0,5.0,5.0,5.0,5.0,3.0,13.0,3.0,7.0,1.0,5.0,6.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,2.0,"","",3.0,16.0,8.0,10.0,10.0,11.0,19.0,11.0,13.0,22.0,36.0,22.0,16.0,19.0,22.0,22.0,29.0,38.0,15.0,13.0,40.0,23.0,35.0,28.0,18.0,28.0,18.0,28.0,16.0,31.0,11.0,26.0,14.0,10.0,28.0,34.0,53.0,46.0,32.0,37.0,14.0
Burkina Faso,Africa,https://cdn.countryflags.com/thumbs/burkina-faso/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,0.0,"","",1.0,0.0,17.0,0.0,6.0,7.0,7.0,24.0,0.0,11.0,24.0,15.0,32.0,0.0,34.0,0.0,42.0,24.0,15.0,27.0,0.0,14.0,43.0,19.0,20.0,30.0,29.0,5.0,36.0,13.0,18.0,13.0,14.0,1.0,14.0,8.0,11.0,5.0
Burundi,Africa,https://cdn.countryflags.com/thumbs/burundi/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cambodia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cambodia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","","",1.0,"","","",1.0,2.0,"",2.0,5.0,12.0,0.0,0.0,0.0,23.0,4.0,35.0,1.0,4.0,5.0,2.0,4.0,1.0,4.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,Africa,https://cdn.countryflags.com/thumbs/cameroon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.0,"",1.0,"","","","","",1.0,1.0,0.0,6.0,0.0,4.0,13.0,0.0,0.0,29.0,16.0,0.0,16.0,0.0,11.0,0.0,43.0,51.0,40.0,38.0,238.0,46.0,95.0,8.0,27.0,45.0,0.0,73.0,17.0,0.0,0.0,35.0,0.0,0.0,161.0,0.0,0.0,1.0
Canada,North America,https://cdn.countryflags.com/thumbs/canada/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,12.0,6.0,6.0,5.0,15.0,16.0,10.0,35.0,38.0,68.0,60.0,120.0,145.0,121.0,156.0,125.0,331.0,128.0,216.0,313.0,1426.0,633.0,657.0,711.0,869.0,1169.0,1112.0,1059.0,1673.0,1251.0,1363.0,1614.0,1157.0,1230.0,1391.0,1474.0,1385.0,1168.0,1064.0,1298.0,1383.0,1318.0,1717.0,1791.0,1469.0,1436.0,2046.0
Cape Verde,Africa,https://cdn.countryflags.com/thumbs/cape-verde/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,44.0,0.0,1.0,2.0,3.0,6.0
