country,category,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,30763570,29433236,30048655,32346145,34795801,38285453,43665581,48744757,50570074,55617479,55546845,51636876,52993719,50094664,53601857,59110413,65287942,69399935,74187333,62876331,72947203,81204211,87001067,87783476,85565003,87721681,88976485,89720920
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,2285796364,2400441033,2479366441,2617866863,2722651039,2941720592,3066069311,2989816951,2853373846,2888645358,2961295066,3106603320,3359652713,3817328863,4326994203,4822978099,5165023275,5563812259,5989735537,6626416583,7233174093,7943774707,8193203275,8313749830,8317185037,8347464877,8466119733,8548534162
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,62600785,61786851,65641160,69270225,73700856,67879481,67337387,73866090,75756989,61286886,61075631,62342211,66106231,61488530,59020849,65527996,70398392,71702775,77453037,78541152,84573768,87701057,92480306,103383668,99739192,105147887,108005206,105745124
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,4911706,5249691,5538701,5813570,7099063,6917802,6754165,7498929,8862839,12933879,10039527,12178825,17924424,12449037,12803035,13640135,11412091,12900616,12950913,11294078,11774575,12617772,12987474,12442670,12572105,12161145,12292106,12344169
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,5068897,5067527,4630547,5783148,5018571,6659834,6109217,6044062,8046838,4781341,4016678,4885799,3985016,6590099,7220783,8088122,8285650,7581493,8588644,7612120,8192426,8239797,9963988,14783431,15345441,14864005,13682504,13964833
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,20542538,15987467,15908479,16976120,17103253,18855142,20142805,21190417,20783124,21483095,20901041,23405750,24873058,26814689,26552970,27523599,31244391,30725887,29991294,26544138,24898583,27161504,22450835,21903715,20762049,20935867,21392642,22071296
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,5784007,6266988,5866073,5958880,6232726,6323350,7496972,7050533,8607510,7792089,8927413,8834388,10561994,10033011,9217416,9669470,9398685,10539362,11942489,12980792,12865257,11163541,9295853,7770216,7816774,7762827,7854478,8225458
Czech Rep.,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,163036608,152031818,143343578,134923892,132035579,130978217,131573943,127096518,121346420,112874761,121438788,122343414,124351345,124195025,119808722,114009653,121910902,126554637,127106351,114609030,119871609,117924887,110117289,107852329,104425835,105632388,106561484,107095156
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,57451872,65135659,60685475,62431038,66004595,65885477,72483200,67571918,64987674,66840385,62781214,63327280,63991448,66628443,67700366,65377909,71743165,68384892,65527628,61167215,62130676,59784803,54590832,56142323,53723782,52389286,53264286,52947217
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
