country,category,url,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,3.462517531,3.933723654,3.812462169,4.247983,5.263864587,4.948344266,5.782404534,5.204740975,4.139043504,4.293646688,3.739423913,4.002595746,4.039025767,4.862855497,5.76710143,6.458721582,7.171535214,8.009998843,8.270361269,9.368863154,11.198172358,13.844388108,15.538768557,15.007515128,14.067603303,15.719783352
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,136.397298208,151.772037035,183.572186382,183.018143365,261.43051086,339.316482159,298.394928306,299.654239956,273.924162824,297.25549538,274.640890269,288.326851498,344.311414944,426.296845053,463.494253909,518.40339795,620.105365739,774.727735198,781.102641544,894.076798149,1161.019128556,1240.280055267,1297.413235865,1194.652196597,1202.744163305,1229.905387638
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,7.609649713,7.536232018,7.025182258,9.327920605,11.252409641,10.646311553,11.971792066,11.52093736,9.341530731,8.993278115,8.801018596,8.743216127,8.457392218999999,9.796836837,11.583686042,12.899303792,16.364556134,20.011674188,18.179636704,20.602712319,22.922528521,24.665634387,23.238972096,24.64309196,20.562494086,17.63223031
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","",0.003621521,0.019446667,0.023073016,0.024613683,0.023129904,0.028473507,"","","","","","","","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,0.946119177,1.031261109,0.993130971,0.570647038,0.659411446,0.674803374,0.724910452,0.761571801,1.022056738,0.874140385,0.802945161,0.279994933,0.37764501,0.579111129,0.754051757,0.94138267,1.253420003,1.630236072,1.802224466,2.270691418,2.735915905,2.909172066,3.583948955,3.830868032,2.079478277,2.223094775
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,2.180980163,2.330557399,2.391956546,2.636458609,2.676991988,2.497692089,2.586673959,2.699834511,2.504503049,2.181296231,2.1191577280000002,2.186796461,2.154203622,2.198919839,2.690703187,2.745524137,2.766704796,3.335305901,3.381848262,4.007047459,4.544525901,4.668064289,4.933670072,5.053893351,5.067096595,5.208878248
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,4.000382428,4.953503381,4.492211867,2.978904894,4.064766085,3.41378375,3.262139317,3.381682343,3.257288951,3.246457628,3.122786453,3.768649482,4.680689091,3.65835342,4.306680414,4.729329718,5.119802595,6.619084427,6.779777653,8.862425864,9.538300296,8.678616747,9.606761641,10.046111413,7.275347997,7.353524529
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,"",15.899175221,1.784610226,1.516860759,1.660154498,1.75569595,1.690581624,1.60394344,1.451252792,0.959380105,1.064059362,1.170765867,1.226838688,1.551483526,1.671123508,1.739639844,2.132273693,2.533497796,2.067671793,2.034035585,2.318853212,2.068022746,2.078746,1.75542306,1.518191325,1.600282581
Cuba,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/cuba/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","",""
Cyprus,Asia & the Pacific,https://cdn.countryflags.com/thumbs/cyprus/flag-button-round-250.png,0.481362555,0.550082788,0.511802551,0.514813668,0.625302032,0.583646186,0.499709607,0.548470759,0.533149685,0.467044183,0.496802786,0.533774506,0.629035086,0.696897486,0.692833593,0.681075062,0.76180274,0.87083571,0.785412995,0.760361278,0.823743723,0.7270813,0.716552235,0.716903578,0.596008236,0.596016376
Czech Rep.,Europe,https://cdn.countryflags.com/thumbs/czech-republic/flag-button-round-250.png,"","",3.639365531,3.42782529,4.176756309999999,4.451431512,3.709055314,3.779590238,3.067630263,2.917611716,3.32156719,3.313250374,3.421769963,4.70326585,4.293473221999999,4.358445101,5.600421335,7.484054453,4.839146224,4.744483299,6.623594695,5.615031037,6.212151972,6.34306015,4.602440453,4.571071049
DR Congo,Africa,https://cdn.countryflags.com/thumbs/congo-democratic-republic-of-the/flag-button-round-250.png,"",0.021785876,0.023663687,"","","","","","","","","","","","","","","","","","","","","","",""
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,8.297332575,8.269195795,7.222429255,7.295173775,8.967254852,8.489138528,6.61999023,6.381958183,6.705951805,5.784592302,6.108957106,5.709064683,6.580099384,7.639951888,7.399122841,7.70087879,9.291166335,10.980856045,8.541236140999999,8.755055569,10.724853561,10.853874464,11.26118938,11.025174267,8.283446233000001,8.043966475
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","",""
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","",4.1481e-05,0.005031208,0.005036759,0.005039519,"","","","","","","","","","","","","","","","","",""
Dominican Rep.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,1.605334771,1.860036786,1.691781538,1.580487486,1.739041152,1.696224088,1.978669892,1.991027238,1.846565827,1.853267293,2.008394268,2.030236909,1.383720697,1.500456805,2.407620627,2.406977459,3.303536698,2.7496026,2.897277514,2.825072046,3.223228646,3.828649908,3.506270294,3.351640573,3.62140451,3.654180172
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,2.093998923,2.223759577,2.528963072,2.831355365,3.056851692,3.261242982,3.506839061,3.117113587,2.012258989,2.319234368,3.73829509,4.103774894,3.997019171,3.648975649,3.751466749,4.108180236999999,4.989905925,5.98152886,6.988730623,7.733278322,7.778047256,7.56990316,7.693362994,8.567011715000001,8.937590911,8.317597275
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,7.636961928,8.190822506,8.766266327,9.000748583,10.968083638,12.578627944,13.645355033,13.754823516,14.425507008,14.755536416,13.078747545,12.706655204,11.467337583,12.991081787,15.750068714,18.166524783,21.82270332,26.73397231,26.138249149,28.480351707,32.00171068,33.838415755,31.326458919,31.98278644,31.997831854,28.209534231
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,0.798019219,0.768428792,0.777053588,1.0661829230000002,1.002784812,1.100400568,1.259640503,1.058758227,0.980106755,0.966877172,0.898178958,0.880476343,0.87383053,0.985875096,1.234952421,1.43746647,1.470919488,1.791918884,1.655000641,1.884414558,2.082500689,1.858754265,1.000713666,0.000565812,"",""
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,0.033411328,0.034568595,0.041468004,0.022339329,0.034926664,0.040724655,0.033008956,0.033107066000000004,0.032868836,0.026048179,0.030335328,0.033458827,0.042692792,0.061896551,0.091627746,0.104947572,0.13196292399999998,0.176793329,0.163172138,0.151338304,0.188529043,0.173619221,0.181078984,0.184718448,0.105758731,0.108877374
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","",0.169655942,0.231019132,0.193609979,0.199029654,0.167405685,0.32966984,0.276789895,0.248651702,0.282080671,0.224344551,0.295243069,0.401135032,0.463533057,0.50722374,0.626464952,0.503038384,0.743293932,0.811128627,0.917153342,1.0348864940000002,1.130730086,1.234413148,1.433663554,1.58432179
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,"",0.875302739,0.680480541,0.558303861,0.455247355,0.447173166,0.395705099,0.325665557,0.261456581,0.284269324,0.337792931,0.337488252,0.388262888,0.497319711,0.561747826,0.581697103,0.828625786,0.793549866,0.673387604,0.777261995,0.986333569,0.974511766,1.02792965,1.028006589,0.832230229,0.677775373
Ethiopia,Africa,https://cdn.countryflags.com/thumbs/ethiopia/flag-button-round-250.png,"","",2.893027968,3.34666223,3.410690716,3.536388102,3.28878251,2.943029205,3.154307481,3.252388243,2.885068641,3.104006234,4.160794141,4.716645612,5.829303663,6.539487758,10.247672753,13.389128371,11.948331722,11.193916361,12.375860975,16.484931696,15.860574981,17.225366212,17.55388544,17.614502422
Fiji,Asia & the Pacific,https://cdn.countryflags.com/thumbs/fiji/flag-button-round-250.png,"",0.017094056,0.015759537,0.018415788,0.020731251,0.020076363,0.017394482,0.193028075,0.184543665,0.16623464,0.174421969,0.188556697,0.225287379,0.274269298,0.304865363,0.28732849,0.319929754,0.323640668,0.275274312,0.236659074,0.307643395,0.26369502599999994,0.324513242,0.354404089,0.356125249,0.611911103
Finland,Europe,https://cdn.countryflags.com/thumbs/finland/flag-button-round-250.png,6.127079627,5.203784697,4.054638481,4.467221182,3.049064753,2.882979392,2.660852103,2.361489975,2.256702513,2.042231124,2.026458771,2.194464416,2.522883076,2.76603133,2.79673005,2.818913981,3.582160981,4.165917152,3.360913835,3.12541615,3.913709435,3.750481954,4.223506605,3.862835244,2.962257055,2.89024893
France,Europe,https://cdn.countryflags.com/thumbs/france/flag-button-round-250.png,56.131980271,56.095594869,47.590448699,51.563513383,57.171667589,56.818575261,54.182144979,53.17031366,50.317292709,44.451943065,42.119690731,44.564166752,51.791589515,55.560745285,55.306860477,59.829715037,70.318534289,76.327886386,65.232001874,71.394158392,80.177936761,79.402267699,80.282356954,81.03582297,69.189910229,66.138521708
Gabon,Africa,https://cdn.countryflags.com/thumbs/gabon/flag-button-round-250.png,0.013841599,0.018751087,0.01784774,0.009607036,0.01211237,0.010408882,0.008777438,0.010299605,"","","","","","","","","","","","","","","","","",""
Gambia,Africa,https://cdn.countryflags.com/thumbs/gambia/flag-button-round-250.png,0.081994213,0.074553838,0.084710764,0.078033677,0.094186098,0.077437777,0.082060911,0.087940205,0.095525045,0.101213381,0.104930351,0.097723046,0.116697806,0.142515362,0.149486277,0.132857707,0.133330737,0.189947966,0.228236693,0.259788735,0.191802202,0.211308197,0.207810642,0.148682091,0.169851904,0.182944551
Georgia,Europe,https://cdn.countryflags.com/thumbs/georgia/flag-button-round-250.png,"","","",1.417621957,1.301581938,1.542282523,1.682793853,1.394593368,1.110222945,0.919196035,1.011330627,0.982458931,1.211130936,1.160154923,1.294856032,0.766131165,1.013021574,1.021149874,0.926127998,0.843372271,1.225196777,1.116914582,1.352836693,1.271903053,0.920284432,0.813702778
Germany,Europe,https://cdn.countryflags.com/thumbs/germany/flag-button-round-250.png,42.407076298,42.095379922,34.943173963,35.581090925,42.501417767,40.68709511,35.076809345,33.458152571,31.050458759,28.642248044,29.696128519,28.399789535,34.040035537,41.063544256,38.501583753,41.856260487,52.640681882,61.206805051,46.362204959,49.71446117,61.290265495,59.32505194,64.035562619,61.42054381,45.866146709,44.448402756
