country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04
St. Vincent & the Grenadines,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/saint-vincent-and-the-grenadines/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","",0,0,0,0,0,0,0,0,1,0,5
Samoa,Asia & the Pacific,https://cdn.countryflags.com/thumbs/samoa/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
San Marino,Europe,https://cdn.countryflags.com/thumbs/san-marino/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,"",2,5,7,1,3,11,12,13,4,1,6,19,6,4,2,5,17,25,0,0,36,0,21,10,5,1,5,0,1,6,9,6
Sao Tome & Principe,Africa,https://cdn.countryflags.com/thumbs/sao-tome-and-principe/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Saudi Arabia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/saudi-arabia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","",4,"",2,4,4,5,25,17,24,0,32,15,0,38,67,36,118,119,51,205,133,112,92,99,26,224,110,157,165,0
Senegal,Africa,https://cdn.countryflags.com/thumbs/senegal/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",2,1,"","","","","","",2,13,2,5,1,4,5,0,11,9,11,12,7,13,6,14,11,12,20,13,15,5,12
Serbia,Europe,https://cdn2.iconfinder.com/data/icons/world-flag-icons/256/Flag_of_Serbia.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","",4,13,6,17,5,9,2,15,22,32,9,14,39,34,27,54,81,73,202,82,0,159,160,111,305
Seychelles,Africa,https://cdn.countryflags.com/thumbs/seychelles/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Sierra Leone,Africa,https://cdn.countryflags.com/thumbs/sierra-leone/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,1,0
Singapore,Asia & the Pacific,https://cdn.countryflags.com/thumbs/singapore/flag-button-round-250.png,0,0,0,3,0,1,0,1,2,3,3,3,2,0,0,6,4,2,3,7,3,2,2,3,8,9,5,3,2,4,3,1,1,3,0,1,1,2,3,2,4,4,2,2,2,5,13,8,12,10,6,12,9,13,14,12,17,23,47,32,40,47,23,54,49,10,26,138,71,41,0,35,121,49,65
Slovakia,Europe,https://cdn.countryflags.com/thumbs/slovakia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,2,2,"",2,3,11,9,14,17,23,13,10,16,14,41,7,6,13,12,10,69,0,41,0,27,37,26,24
Slovenia,Europe,https://cdn.countryflags.com/thumbs/slovenia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,5,3,3,4,"",15,26,39,45,40,38,34,22,11,33,22,42,31,28,38,48,49,55,59,39,33,51,27,56,37
Solomon Islands,Asia & the Pacific,https://cdn.countryflags.com/thumbs/solomon-islands/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Somalia,Africa,https://cdn.countryflags.com/thumbs/somalia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0
South Africa,Africa,https://cdn.countryflags.com/thumbs/south-africa/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",1,1,4,"",6,4,7,0,27,11,23,31,34,55,35,34,128,155,152,218,243,17,93,46,27,27,82,43
South Korea,Asia & the Pacific,https://cdn.countryflags.com/thumbs/south-korea/flag-button-round-250.png,0,0,0,1,0,1,1,0,0,0,3,5,3,0,1,2,5,1,0,1,2,1,0,0,0,0,1,1,1,15,34,75,190,256,161,130,254,449,427,909,595,686,600,516,438,518,483,367,248,131,242,114,110,107,76,74,84,93,152,87,147,98,64,76,100,104,91,146,105,78,125,0,190,86,94
South Sudan,Africa,https://www.worldatlas.com/r/w728-h425-c728x425/upload/b1/9f/c9/ss-flag.jpg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Spain,Europe,https://cdn.countryflags.com/thumbs/spain/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,13,9,32,17,31,37,49,61,113,56,159,615,435,501,864,1227,1522,2000,1438,1987,2538,3431,2833,4946,3646,4517,6584,7937,8578,7871,8189,6549,6398,9222,7719,8102,7472
Sri Lanka,Asia & the Pacific,https://cdn.countryflags.com/thumbs/sri-lanka/flag-button-round-250.png,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","",1,1,3,5,8,10,13,0,11,13,12,9,10,5,0,4,0,9,5,0,2,21,5,3
Sudan,Africa,https://cdn.countryflags.com/thumbs/sudan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0
Suriname,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/suriname/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","",0,4,0,1,2,0,0,0,0,0,0,2,0,0,0
Swaziland,Africa,https://cdn.countryflags.com/thumbs/swaziland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0
Sweden,Europe,https://cdn.countryflags.com/thumbs/sweden/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,1,1,9,11,26,76,24,42,45,78,136,158,155,149,108,89,46,134,122,200,123,160,110,256,238,296,240,401,253,328,407,512,519,612
Switzerland,Europe,https://cdn.countryflags.com/thumbs/switzerland/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,6,6,6,7,20,30,122,55,68,42,116,152,212,267,238,841,0,450,360,878,952,1237,894,1044,774,925,1000,1390,1048,1122,1138,696,962,1774,862
Syria,Asia & the Pacific,https://cdn.countryflags.com/thumbs/syria/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,0,0,4,0,0,4,1,0,0,6,0
Taiwan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/taiwan/flag-button-round-250.png,1,0,0,0,2,0,2,2,1,0,1,1,0,0,0,1,0,5,1,1,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,2,1,1,2,5,1,0,1,1,"",2,1,0,0,"",3,0,1,4,6,0,8,10,31,0,27,18,12,30,21,19,17,15,16,23,0,16,17,0,16
Tajikistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/tajikistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Tanzania,Africa,https://cdn.countryflags.com/thumbs/tanzania/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,2,0,0,3,6,0,0,0,1,0,0,1,5,0,1,1,0
Thailand,Asia & the Pacific,https://cdn.countryflags.com/thumbs/thailand/flag-button-round-250.png,0,2,0,0,1,0,3,6,0,0,0,5,0,0,0,6,0,0,7,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0,0,2,0,1,"","",4,"",3,"","","",9,11,"",12,0,32,63,0,0,35,154,233,122,106,107,111,91,0,109,143,263,0,120,104,103
Timor,Asia & the Pacific,https://cdn.countryflags.com/thumbs/timor/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,Africa,https://cdn.countryflags.com/thumbs/togo/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","",0,0,0,0,0,0,8,6,0,3,0,5,1,1,3,2,4,0,2,3,1
Tonga,Asia & the Pacific,https://cdn.countryflags.com/thumbs/tonga/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Trinidad & Tobago,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/trinidad-and-tobago/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,0,2,1,2,2,0,0,40,1,1,6,3,5,1,8,4,7,2,2,8,3
Tunisia,Africa,https://cdn.countryflags.com/thumbs/tunisia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","",1,3,2,6,3,0,2,2,4,5,10,15,6,15,14,25,59,0,54,0,51,34,50,32,61,0
Turkey,Asia & the Pacific,https://cdn.countryflags.com/thumbs/turkey/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","",16,29,51,93,168,311,277,289,293,343,561,1196,2069,1704,1815,2318,1996,2148,2456,2786
Turkmenistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/turkmenistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Tuvalu,Asia & the Pacific,https://cdn.countryflags.com/thumbs/tuvalu/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Uganda,Africa,https://cdn.countryflags.com/thumbs/uganda/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,8,0,5,0,0,16,3,0,11,0,1,3
Ukraine,Europe,https://cdn.countryflags.com/thumbs/ukraine/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","",2,"","",0,2,9,5,7,0,15,6,26,11,29,43,62,93,107,62,69,245,10,183
United Arab Emirates,Asia & the Pacific,https://cdn.countryflags.com/thumbs/united-arab-emirates/flag-button-round-250.png,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,6,0,2,0,"",6,"",2,"",16,"",14,15,"",11,"",0,1,12,15,0,27,0,13,0,45,50,85,0,72,63,0,143,53,0,360,0
United Kingdom,Europe,https://cdn.countryflags.com/thumbs/united-kingdom/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,2,5,13,4,11,34,30,48,43,67,48,52,83,134,117,433,251,152,407,680,647,706,1035,665,967,1427,1452,2129,2885,2546,2433,2619,3009,4324,4244,4450
United States,North America,https://cdn.countryflags.com/thumbs/united-states-of-america/flag-button-round-250.png,1,0,0,0,1,0,3,0,0,0,1,1,1,3,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,19,0,0,18,0,6,1,6,3,20,14,22,34,74,105,95,121,200,271,287,351,511,777,823,887,1766,2988,4835,5374,7123,8459,11236,8789,13963,16797,18695,19979,18360,21595,24998,27103,28819,32425
Uruguay,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/uruguay/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,2,21,21,29,15,16,25,23,4,27,28,21,0,66,5,11,18,0,31,17
Uzbekistan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/uzbekistan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,2,8,7,0,10,0,13,3,6,10,18,21,29,12,4,24,14,3,37
Vanuatu,Asia & the Pacific,https://cdn.countryflags.com/thumbs/vanuatu/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Vatican,Europe,https://cdn.countryflags.com/thumbs/vatican-city/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1
Venezuela,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/venezuela/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,5,18,0,0,0,3,0,0,48,7,15,1,12,0,0,16,0,8,1,0
Vietnam,Asia & the Pacific,https://cdn.countryflags.com/thumbs/vietnam/flag-button-round-250.png,0,0,0,2,0,0,0,0,0,0,3,0,2,1,1,1,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",1,4,9,1,4,4,5,5,4,4,4,0,15,9,2,7,24,5,11,14,5,16,54,5,1,0,6,4,0
Yemen,Asia & the Pacific,https://cdn.countryflags.com/thumbs/yemen/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Zambia,Africa,https://cdn.countryflags.com/thumbs/zambia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,0,0,0,1,0,0,9,2,2,12,1,6,0,1,3,0
Zimbabwe,Africa,https://cdn.countryflags.com/thumbs/zimbabwe/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,0,0,0,1,0,2,2,0,0,1,0,0,1
[WORLD AVERAGE],World,https://webcomicms.net/sites/default/files/clipart/128927/axis-cliparts-128927-7947916.png,153,142,97,266,453,673,797,1767,1480,1756,2003,2120,2608,2818,3243,3907,3751,3218,3442,2619,2988,2565,2072,15151,4215,2560,2162,2067,1995,1864,532,996,1085,1008,527,793,863,1106,1264,1838,1821,2044,1596,2413,2239,2856,3961,3691,3871,4537,4378,6887,8355,9375,8140,16051,12678,14740,18314,29214,28742,34011,33016,39785,38927,51204,59718,63937,65162,58487,62443,73512,77128,71813,76572
