country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04
Central African Rep.,Africa,https://cdn.countryflags.com/thumbs/central-african-republic/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,2,0,0
Chad,Africa,https://cdn.countryflags.com/thumbs/chad/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0
Chile,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/chile/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,2,1,1,"",5,3,4,6,10,10,18,14,81,45,37,104,92,103,95,114,176,220,164,304,299,230,310,289,293,373,333
China,Asia & the Pacific,https://cdn.countryflags.com/thumbs/china/flag-button-round-250.png,151,140,97,259,441,665,787,1753,1466,1740,1980,2095,2590,2812,3237,3872,3727,3160,3418,2607,2974,2490,2028,15141,4156,2538,2007,2052,1890,1750,394,891,826,647,218,515,410,439,329,428,574,205,127,119,117,170,101,46,45,20,29,24,22,19,22,25,43,23,44,99,52,65,138,69,78,102,94,119,113,98,84,54,100,70,62
Colombia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/colombia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","",2,"",6,"",7,18,11,12,8,37,26,30,52,25,71,72,92,21,48,69,94,96,108,159,96,106
Comoros,Africa,https://cdn.countryflags.com/thumbs/comoros/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Congo,Africa,https://cdn.countryflags.com/thumbs/congo-republic-of-the/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,0,0,2,0,0,1,0,0,0,0,0,0,15,0,0,3,0,19,0
Costa Rica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/costa-rica/flag-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",4,4,4,9,1,3,1,8,6,9,19,18,26,4,17,24,19,24,30,32,32,19,16,17,28,21,20
Cote d'Ivoire,Africa,https://cdn.countryflags.com/thumbs/cote-d-ivoire/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","",3,0,1,0,1,3,5,3,8,0,48,7,16,5,39,25,3,0,22,4,24
Croatia,Europe,https://cdn.countryflags.com/thumbs/croatia/flag-button-round-250.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,1,1,"",1,1,1,"","",1,3,9,6,6,11,8,13,12,23,22,80,29,71,76,36,77,91,71,56,77,77,96,48,68
