country,category,url,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guyana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1.2713604446710292,"","",1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,1.2713604446710292,2.5427208893420583,5.085441778684117,5.085441778684117,5.085441778684117,5.085441778684117,5.085441778684117,6.356802223355146,6.356802223355146,7.6281626680261745,7.6281626680261745,7.6281626680261745
Haiti,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08769981196283318,0.08769981196283318,0.08769981196283318,0.17539962392566635,0.17539962392566635
Honduras,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/honduras/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,"",0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10096310727289763,0.10096310727289763,0.20192621454579526,0.3028893218186929,0.7067417509102834,1.0096310727289763,1.4134835018205667,1.5144466090934645,1.5144466090934645,2.221188360003748,2.221188360003748,2.221188360003748,2.221188360003748,2.3221514672766457,2.3221514672766457,2.423114574549543
Hong Kong,Asia & the Pacific,https://pakhockey.org/wp-content/uploads/2017/10/1e54cad04d668d5ef5c9356a15cbd328.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hungary,Europe,https://cdn.countryflags.com/thumbs/hungary/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.0,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1035159181603151,0.1035159181603151,0.1035159181603151,0.1035159181603151,0.1035159181603151,0.4140636726412604,0.4140636726412604,0.7246114271222057,0.8281273452825209,1.0351591816031511,1.0351591816031511,1.0351591816031511,1.1386750997634663,1.3457069360840965,1.5527387724047266,1.6562546905650417,2.0703183632063022,2.1738342813666174,2.691413872168193,3.3125093811300834,3.5195412174507137,3.9336048900919742,4.86524815353481,6.003923253298276,6.832050598580797,7.970725698344263,8.798853043626785
Iceland,Europe,https://cdn.countryflags.com/thumbs/iceland/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93040293040293,2.93040293040293,2.93040293040293,2.93040293040293,5.86080586080586,5.86080586080586,5.86080586080586,5.86080586080586,5.86080586080586,5.86080586080586,5.86080586080586,5.86080586080586,5.86080586080586,5.86080586080586,11.72161172161172,11.72161172161172,11.72161172161172,11.72161172161172,17.582417582417584,17.582417582417584,17.582417582417584,17.582417582417584,20.512820512820515
India,Asia & the Pacific,https://cdn.countryflags.com/thumbs/india/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0007246353786042499,0.0014492707572084998,0.0014492707572084998,0.0014492707572084998,0.0021739061358127497,0.0021739061358127497,0.0021739061358127497,0.0028985415144169996,0.0028985415144169996,0.0028985415144169996,0.005072447650229749,0.006521718407438249,0.006521718407438249,0.009420259921855249,0.012318801436272248,0.013768072193480748,0.018115884465106247,0.021014425979523247,0.023188332115335997,0.025362238251148746,0.036231768930212495,0.040579581201837994,0.04927520574508899,0.05579692415252724,0.07898525626786324,0.08260843316088448,0.10797067141203323,0.12028947284830548,0.14420244034224572,0.17318785548641571
Indonesia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/indonesia/flag-button-round-250.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","","","",0.0,"",0.0,"",0.0,0.0036559913777976785,"",0.014623965511190714,0.014623965511190714,0.018279956888988393,0.018279956888988393,0.018279956888988393,0.018279956888988393,0.0694638361781559,0.09139978444494196,0.1389276723563118,0.17548758613428858,0.17914357751208626,0.2010795257788723,0.21204749991226535,0.28516732746821893,0.318071249868398,0.3729111205353632,0.41678301706893534,0.44603094809131677,0.4972148273804843,0.5739906463142356,0.6215185342256053,0.6617344393813798,0.6982943531593566,0.7238862928039403,0.7641021979597148,0.8079740944932869,0.8774379306714428,1.02367758578335,1.1187333616060897
