country,category,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,39.07706065265544,38.304176137492604,37.64571441247288,36.96034112040466,36.33764607333097,35.87142890883878,35.8589203020559,35.408505646801046,35.20724896112764,34.871202364182714,34.69763257322853,34.36796593193073,34.14821177612395,33.870360597591166,33.18680985369056,32.57340897200696,31.875259978456516,31.471437491786435,31.03103357720468,30.569698395546396,30.008272796144038,29.80446501579913,29.6569156815455,29.55717732329724,29.27773721275755,29.37298161471018,29.419509558952566,29.56627600212543
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,26.551819732732206,26.76935146192319,27.158623185594383,27.410323083144277,27.5872873366408,27.704276927482518,27.49325900779946,27.195353024359086,25.28949693297889,26.274995617713742,25.54914527664697,24.21295967394043,24.136470843601884,23.861552684643783,23.39210148398925,23.126276467807408,22.93243911864803,22.79601204523777,22.44057997533036,22.44726073020488,22.121624925604248,22.069729384491016,22.054992491197044,22.107534438396563,22.2448121501619,22.22108164863899,22.406936830112056,22.635051741172223
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,8.50008817427054,8.528463185814585,8.625908895073952,8.65690522133454,8.707225201188168,8.791905113265607,8.836360566483965,8.844819503185018,8.849467233189584,8.892331881795872,8.979164014142757,8.980720783004633,9.105284506671467,9.115687743758494,9.156669389940223,9.158005033683187,9.18627387329418,9.22277468833856,9.341929866509483,9.51646026211878,9.691479540481067,9.95470551685487,10.194513746769006,10.418528879610495,10.631066515338153,10.877560115113816,11.140609373296,11.426613825451213
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,13.434934686487424,13.91122935808723,14.514696401209811,15.064903945363097,15.482621330283191,16.18099365898466,16.653256298534288,17.281785349011532,17.857397646927836,18.423597275046866,18.2198165371331,19.71858384427994,20.28574233076276,20.92430641493887,21.485491461041637,22.071197805100986,22.546534773231663,23.134823010321007,23.638958783484888,24.08781990653493,24.78867573780236,25.32305426646405,25.839141175823055,26.332655251098508,26.790028138725763,27.21393056861057,27.5997531513601,27.925989157127624
Bolivia,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bolivia/flag-button-round-250.png,15.551331132850063,15.856744266067205,16.018798050547993,16.360390861984833,16.61366066146284,16.836712841711172,17.093645740301934,17.36001146173316,17.486318818004058,17.69309195545812,17.838298667841382,18.063057962198656,18.369244264042166,18.613116918207613,18.96297014678096,19.331915873653724,19.589811854044598,19.97229658528399,20.338484515936084,20.72142643934164,21.02000765251972,21.299219083695967,21.5828802836447,21.8188666069732,22.078856070087475,22.400051492192638,22.667881066435623,22.92597957470468
Bosnia & H.,Europe,https://cdn.countryflags.com/thumbs/bosnia-and-herzegovina/flag-button-round-250.png,49.65080681073147,50.2500178026708,40.61490027003303,43.444481012374304,46.895543093962075,39.66410396218541,51.594072164531454,51.03541975524667,50.594737348114414,50.4081621704509,50.102366130487,49.97305182901101,49.34187908021427,48.8820517246415,48.59294565551428,48.3375556319038,48.42670071642499,48.52099426843524,48.30636816428602,48.737257785656766,48.79396928184011,48.840976683014446,48.753905791373874,48.64351932614544,48.55833302227241,48.858776902760255,48.836174859426634,48.92491769388687
Botswana,Africa,https://cdn.countryflags.com/thumbs/botswana/flag-button-round-250.png,15.152149318037852,14.56755441726619,13.869870097656506,13.02549286774641,12.091633528242456,11.114203815461893,10.197972011461284,9.417534174325711,8.768674048195232,8.254480847242828,7.926132684224182,7.7042480719865605,7.654421894245275,7.689868934410411,7.860243094506214,8.211183506002252,8.700376262383765,9.180893202842324,10.1373259324089,11.035736908465358,12.02589449481853,12.960883885387819,13.803422389210226,14.720504224819669,15.659713656910728,16.383475291302048,17.08352461605481,17.89485210310516
Brazil,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/brazil/flag-button-round-250.png,27.8348148834765,27.877518102396348,28.275334480823666,28.637993996308037,28.58773334126275,28.42223347755606,28.412282531621518,28.432162459140937,28.597955973708117,28.637057486950006,28.58121106041055,28.637474378490506,28.691217934121443,28.80879346157741,28.900355581453468,28.70378242053535,28.719156574424993,28.675334939028524,28.643453094790928,28.578896418305433,28.54664785054813,28.443201604448458,28.358287944498944,28.226640999865133,28.14013463305114,28.200873382410453,28.339909825655063,28.77872368781582
Brunei,Asia & the Pacific,https://cdn.countryflags.com/thumbs/brunei/flag-button-round-250.png,31.0541299915931,31.073622911086485,31.14297174601022,31.218515809268787,31.21176146872769,31.160100656444545,30.974622687508997,30.53130493989701,30.33054774125441,30.013547169549714,29.59336419054983,29.486792708628755,29.362974073071584,29.18984888055539,28.904691001043854,28.569852766688037,28.30728690986354,27.975976905452963,27.71363991825504,27.50307374965095,27.207083087026092,26.852604913660837,26.647384068052844,26.61114915778376,26.614315558163604,26.483974422274333,26.71672366397107,27.00618821061403
Bulgaria,Europe,https://cdn.countryflags.com/thumbs/bulgaria/flag-button-round-250.png,60.447579268776906,60.97229906862576,61.47757611140173,62.194714818811256,62.65768885082237,63.34371031600588,63.72773726601889,64.23176964635947,64.10467556940408,64.15006612583326,64.39995603701301,64.43996723799708,64.45990171265947,64.10008301179637,63.58630163381758,63.006854469867456,62.690574880405336,62.15930830561257,61.57644199169054,61.27525629833123,61.19614832352037,61.10292553629005,60.75264945834644,60.55211818534442,60.7901416310576,60.880924986659146,60.8210864529516,60.97366533079382
