country,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kiribati,https://dynamospanish.com/wp-content/uploads/flags/images/Kiribati/2/large/Kiribati.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,https://dynamospanish.com/wp-content/uploads/flags/images/Kuwait/2/large/Kuwait.png,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Kyrgyzstan,https://dynamospanish.com/wp-content/uploads/flags/images/Kyrgyzstan/2/large/Kyrgyzstan.png,0,0,58,58,219,219,219,219,220,220,228,235,247,289,336,359,368,370,450,476,486,489,501,509,517,534,534,557
Laos,https://dynamospanish.com/wp-content/uploads/flags/images/Laos/2/large/Laos.png,0,0,32,40,40,66,96,96,96,96,111,111,112,112,112,112,112,112,117,143,143,191,191,214,214,214,218,218
Latvia,https://dynamospanish.com/wp-content/uploads/flags/images/Latvia/2/large/Latvia.png,0,0,0,0,0,0,0,0,1,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8
Lebanon,https://dynamospanish.com/wp-content/uploads/flags/images/Lebanon/2/large/Lebanon.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
Lesotho,https://dynamospanish.com/wp-content/uploads/flags/images/Lesotho/2/large/Lesotho.png,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,49,49,49,49,49,49,49
Liberia,https://dynamospanish.com/wp-content/uploads/flags/images/Liberia/2/large/Liberia.png,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,10,10,11,12,12,12,12,12,12,12,12
Libya,https://dynamospanish.com/wp-content/uploads/flags/images/Libya/2/large/Libya.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16
Liechtenstein,https://dynamospanish.com/wp-content/uploads/flags/images/Liechtenstein/2/large/Liechtenstein.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,https://dynamospanish.com/wp-content/uploads/flags/images/Lithuania/2/large/Lithuania.png,0,0,0,6,6,6,6,6,7,10,10,11,12,12,12,12,13,13,13,13,16,16,16,16,16,16,16,16
Luxembourg,https://dynamospanish.com/wp-content/uploads/flags/images/Luxembourg/2/large/Luxembourg.png,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Macao,https://dynamospanish.com/wp-content/uploads/flags/images/Macao/2/large/Macao.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,https://dynamospanish.com/wp-content/uploads/flags/images/Macedonia/2/large/Macedonia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,4,4,11,33,33
Madagascar,https://dynamospanish.com/wp-content/uploads/flags/images/Madagascar/2/large/Madagascar.png,0,35,35,35,247,247,255,429,429,429,581,581,603,708,1103,1209,1213,1223,1327,1354,1354,1389,1423,1474,1490,1521,1521,1602
Malawi,https://dynamospanish.com/wp-content/uploads/flags/images/Malawi/2/large/Malawi.png,0,472,472,472,472,473,473,473,476,476,476,534,542,553,553,564,571,573,573,577,577,581,583,587,587,870,881,881
Malaysia,https://dynamospanish.com/wp-content/uploads/flags/images/Malaysia/2/large/Malaysia.png,0,0,0,102,102,121,390,392,392,392,408,417,438,450,548,558,574,622,628,633,637,665,670,674,693,717,717,726
Maldives,https://dynamospanish.com/wp-content/uploads/flags/images/Maldives/2/large/Maldives.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,101,101,101,101,101,101,101,101,101,101,101,101
Mali,https://dynamospanish.com/wp-content/uploads/flags/images/Mali/2/large/Mali.png,0,0,0,0,0,0,0,0,2,4,19,20,21,21,21,21,21,39,39,63,63,63,63,100,100,105,118,118
Malta,https://dynamospanish.com/wp-content/uploads/flags/images/Malta/2/large/Malta.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,https://dynamospanish.com/wp-content/uploads/flags/images/Marshall_Islands/2/large/Marshall_Islands.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,https://dynamospanish.com/wp-content/uploads/flags/images/Mauritania/2/large/Mauritania.png,0,4,4,4,4,4,4,4,4,4,4,4,29,37,37,37,43,46,46,46,46,46,46,54,54,54,54,72
Mauritius,https://dynamospanish.com/wp-content/uploads/flags/images/Mauritius/2/large/Mauritius.png,0,0,0,0,2,2,5,5,5,5,5,5,8,8,8,8,8,10,10,10,10,10,10,30,30,30,30,30
Mexico,https://dynamospanish.com/wp-content/uploads/flags/images/Mexico/2/large/Mexico.png,143,200,209,323,327,570,599,984,2030,2846,2917,2957,3028,3083,3173,3276,3320,3384,3432,3481,3674,3794,3831,3942,3990,4052,4164,4692
Moldova,https://dynamospanish.com/wp-content/uploads/flags/images/Moldova/2/large/Moldova.png,0,0,0,0,50,50,52,61,63,63,63,63,63,63,64,64,64,64,66,66,67,67,67,67,67,67,67,67
Monaco,https://dynamospanish.com/wp-content/uploads/flags/images/Monaco/2/large/Monaco.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,https://dynamospanish.com/wp-content/uploads/flags/images/Mongolia/2/large/Mongolia.png,36,42,42,49,54,54,94,94,94,94,117,133,134,150,150,150,150,150,202,227,238,238,238,238,238,238,249,266
Montenegro,https://symondsflags.com/wp-content/uploads/2014/09/montenegro-flag.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,https://dynamospanish.com/wp-content/uploads/flags/images/Morocco/2/large/Morocco.png,0,0,0,0,0,791,829,889,889,889,894,908,987,1022,1650,1653,1669,1669,1707,1737,1778,1778,1778,1778,1837,1837,1837,1837
Mozambique,https://dynamospanish.com/wp-content/uploads/flags/images/Mozambique/2/large/Mozambique.png,0,0,0,0,240,240,250,285,372,395,1227,1305,1307,1355,1355,1362,1373,1426,1457,1469,1474,1497,1529,1656,1669,1828,1856,1863
Myanmar,https://dynamospanish.com/wp-content/uploads/flags/images/Myanmar/2/large/Myanmar.png,0,23,28,28,44,95,95,162,162,183,183,233,254,254,560,577,635,639,139005,139028,139073,139297,139336,139359,139359,139571,139667,139669
Namibia,https://dynamospanish.com/wp-content/uploads/flags/images/Namibia/2/large/Namibia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,13,55,146,154,261,261,261,261,261,261,261
Nauru,https://dynamospanish.com/wp-content/uploads/flags/images/Nauru/2/large/Nauru.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,https://dynamospanish.com/wp-content/uploads/flags/images/Nepal/2/large/Nepal.png,30,87,87,1451,1451,1770,2577,2597,2907,3076,3220,3364,3835,4073,4258,4327,4483,4697,4811,4937,5086,5226,5309,5503,5699,14697,14859,15012
Netherlands,https://dynamospanish.com/wp-content/uploads/flags/images/Netherlands/2/large/Netherlands.png,6,6,7,8,8,10,12,14,14,14,14,17,18,18,18,18,18,24,24,24,28,28,28,29,29,30,30,30
