country,category,url,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,Apr 26,Apr 27,Apr 28,Apr 29,Apr 30,May 01,May 02
Azerbaijan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/azerbaijan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","",0.099,0.099,0.099,0.099,0.099,0.197,0.296,0.296,0.395,0.395,0.395,0.493,0.493,0.493,0.493,0.493,0.69,0.69,0.789,0.789,0.888,0.986,1.085,1.085,1.184,1.282,1.282,1.479,1.479,1.775,1.874,1.874,1.973,1.973,1.973,2.071,2.071,2.071,2.17,2.17,2.268,2.367,2.466
Bahamas,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/bahamas/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.543,2.543,7.629,10.172,12.715,12.715,15.258,17.8,20.343,20.343,20.343,20.343,20.343,20.343,20.343,22.886,22.886,22.886,22.886,22.886,22.886,22.886,27.972,27.972,27.972,27.972,27.972,27.972,27.972,27.972,27.972
Bahrain,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bahrain/flag-button-round-250.png,"","","","","","","","","","","","","","","","",0.588,0.588,0.588,0.588,0.588,0.588,1.175,1.175,1.763,1.763,2.351,2.351,2.351,2.351,2.351,2.351,2.351,2.351,2.351,2.351,2.351,2.351,2.938,2.938,2.938,3.526,3.526,3.526,4.114,4.114,4.114,4.114,4.114,4.114,4.114,4.114,4.114,4.114,4.702,4.702,4.702,4.702,4.702,4.702,4.702,4.702,4.702
Bangladesh,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bangladesh/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","",0.012,0.018,0.018,0.024,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.036,0.036,0.036,0.049,0.055,0.073,0.103,0.121,0.128,0.164,0.182,0.206,0.237,0.279,0.304,0.364,0.455,0.51,0.553,0.613,0.668,0.729,0.771,0.795,0.85,0.88,0.923,0.941,0.99,1.02,1.032
Barbados,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/barbados/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3.48,6.96,10.439,10.439,10.439,13.919,13.919,13.919,13.919,17.399,17.399,17.399,17.399,17.399,17.399,17.399,17.399,20.879,20.879,20.879,20.879,20.879,20.879,20.879,24.359,24.359,24.359
Belarus,Europe,https://cdn.countryflags.com/thumbs/belarus/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.423,0.423,0.529,0.847,1.376,1.376,1.376,1.693,2.011,2.434,2.752,3.069,3.492,3.81,4.233,4.445,4.762,4.974,5.397,5.821,6.138,6.35,6.667,7.09,7.62,7.937,8.36,8.89,9.419,9.842
Belgium,Europe,https://cdn.countryflags.com/thumbs/belgium/flag-button-round-250.png,"","","","","","","","","","","",0.259,0.259,0.259,0.345,0.345,0.431,0.431,1.208,1.812,3.193,5.781,6.471,7.593,10.527,15.359,18.983,24.936,30.458,37.188,44.264,60.83,71.443,87.233,98.623,110.703,124.853,140.816,175.588,193.276,217.695,260.492,288.707,310.623,336.767,358.683,383.102,419.082,445.485,470.507,490.353,502.864,517.532,540.311,559.984,576.292,596.827,612.1,621.85,632.549,647.217,655.242,664.647
Belize,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/belize/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.515,2.515,2.515,2.515,2.515,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03
Benin,Africa,https://cdn.countryflags.com/thumbs/benin/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.165,0.165,0.165
Bhutan,Asia & the Pacific,https://cdn.countryflags.com/thumbs/bhutan/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
