country,url,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
France,https://dynamospanish.com/wp-content/uploads/flags/images/France/2/large/France.png,1442,1556,1494,1541,1583,1513,1553,1521,1511,1551,1513,1534,1667,1636,1638,1693,1665,1689,1762,1697,1814,1850,1801,1889,1948,1880,1878,2078,1943,1997,2028,1992,2115,2005,2094,2055,2142,2260,2414,2253,2404,2248,2432,2507,2525,2445,2457,2303,2518,2549,2383,2413,2641,2455,2771,2866,2633,2777,2744,2577,2812,2924,3067,3082,3051,3004,3060,3093,3136,3225,3316,3411,3514,3591,3738,3675,3860,3812,4005,4246,4214,4161,4105,4207,4251,4341,4436,4649,4631,4839,4551,4932,5274,5169,4745,4707,4959,4214,3348,3881,4399,4139,4798,4924,5411,5322,5355,5164,5433,5693,5502,5166,4851,5218,5182,5074,5294,5621,5620,6058,5131,4219,3818,3678,3128,3337,5022,5413,5771,6525,6869,7277,7473,7728,8053,8449,8815,9293,9559,9748,10284,10735,11343,11792,12492,13016,13674,14304,14903,15879,16740,17511,18279,19191,19643,19599,20451,21228,21785,22481,22713,22083,22053,21639,21192,20830,21857,22324,23348,24014,24349,24533,24774,24563,25060,25434,25692,27237,28888,29973,31771,32740,33151,31556,32202,33428,34098,35855,35755,35255,35871,36691,36773,37926,38134,38448,38758
Gabon,https://dynamospanish.com/wp-content/uploads/flags/images/Gabon/2/large/Gabon.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3968,4091,4216,4342,4474,4610,4746,4886,5029,5173,5342,5702,5617,6203,6230,6150,6061,5921,5935,5998,7060,7258,7109,8145,11612,11678,12682,11673,11787,12830,14267,12941,11358,11719,12401,11719,8386,7984,7074,9008,10860,9397,11432,10158,8760,9361,10065,8584,7464,8767,10502,9103,9611,10415,12416,16465,15439,15961,18388,11278,11469,16403,14665,14757,14053,14315,14334
Gambia,https://dynamospanish.com/wp-content/uploads/flags/images/Gambia/2/large/Gambia.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1829,1874,1871,1881,1922,1916,1921,1925,1907,1944,1994,2259,2148,2210,2244,2446,2755,2693,2788,2756,2660,2558,2480,2569,2586,2621,2492,2432,2488,2315,2241,2532,2615,2411,2351,2323,2343,2208,2140,2090,2060,2024,1924,1906,1818,1822,1777,1747,1658,1741,1812,1805,1661,1826,2119,2048,1899,1873,1820,1799,1850,1669,1781,1830,1901,1948,1950
Georgia,https://dynamospanish.com/wp-content/uploads/flags/images/Georgia/2/large/Georgia.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9056,9056,9056,9056,9056,9056,9056,10075,10585,11120,11717,12572,13282,13253,13127,14045,13562,11626,9890,4636,2843,2603,2931,3332,3597,3455,3434,3429,3619,3865,4396,4780,5242,6105,7004,7458,7867,8305,8946,9241,9540,9903,10198,10483
Germany,https://dynamospanish.com/wp-content/uploads/flags/images/Germany/2/large/Germany.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1386,1367,1385,1373,1402,1379,1487,1548,1529,1520,1592,1587,1701,1863,1952,1996,2053,2102,2274,2331,2362,2390,2602,2706,2890,2889,2846,2808,2920,2831,2792,2854,2895,3050,3115,3184,3192,3300,3411,3484,3572,3542,3667,3827,3893,4044,4143,4215,4346,4454,4596,4442,4496,4695,4833,4887,4984,5153,5191,5246,5386,5396,5487,5587,4606,4290,4267,4217,4184,3561,3777,4079,4328,3502,3992,4316,4312,4613,4682,4533,4624,4413,4213,4615,5181,5716,6187,6525,6968,7557,7566,8013,8069,8294,8583,6381,3139,3456,4027,4674,5536,6120,6718,7230,7784,8728,9332,9805,10150,10875,11587,11776,12144,12365,13196,13666,14089,14055,14882,15853,16581,16999,17719,18498,18655,18839,19929,20553,21156,22021,22053,21443,20991,21102,21247,21377,22858,23740,24887,25724,25054,26568,27098,27199,28297,29211,29415,30586,31964,33145,33975,34560,34674,34976,35908,37305,38784,41047,41333,39480,41215,43189,43198,44560,46038,46426,46841
Ghana,https://dynamospanish.com/wp-content/uploads/flags/images/Ghana/2/large/Ghana.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,908,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,2322,2346,2244,2487,2726,2483,2158,2353,2118,2605,2753,2646,2566,2684,2693,2567,2457,2377,2371,2413,2633,2681,2301,2392,2601,2261,2003,2144,2126,2025,1963,1866,1586,1481,1575,1650,1636,1653,1747,1685,1689,1779,1778,1748,1779,1852,1801,2086,2009,2221,2337,2145,2191,2222,2398,2431,2329,2432,2647,2540,2682,3283,3691,3635,3627,3687,3753
Gibraltar,https://dynamospanish.com/wp-content/uploads/flags/images/Gibraltar/2/large/Gibraltar.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Greece,https://dynamospanish.com/wp-content/uploads/flags/images/Greece/2/large/Greece.png,"","","","","","","","","","","","","",1323,1408,1840,1780,1825,1920,1739,1664,1651,1687,1423,1379,1328,1456,1241,1337,1370,1384,1695,1431,1569,1643,1728,1513,1961,1891,1861,1829,1947,1965,1756,1596,1706,1628,1719,1739,1715,1668,1601,1555,1832,1734,1661,1653,1553,1709,1776,1746,1697,1807,1800,2024,2184,2089,2161,2210,2058,1943,1694,1767,1881,1923,1850,2032,1726,1863,1902,1698,1628,2086,2039,2150,2204,2178,2208,2196,2240,2231,2782,2700,1615,2062,1569,1334,1164,1963,1749,1966,2632,2695,2728,2823,2937,2991,3047,3066,3214,3099,2929,3141,3287,3319,3404,3370,3800,3674,3620,3051,2572,2167,1821,1532,1287,1903,2419,2468,2564,2628,2830,2816,3334,3316,3576,3845,4085,4277,4389,4490,4876,4960,5504,5818,6353,6793,7064,7496,8222,8925,9562,10690,10956,10504,11074,11548,11602,12189,12269,12461,12575,12391,12376,12661,13302,14123,14270,15302,16024,16012,17074,17076,17392,18286,18923,19292,20877,21690,22237,23138,24271,25790,25577,26579,25792,27650,28325,29288,28959,27169,24349,23898,24807,24437,24545,24689
Greenland,https://dynamospanish.com/wp-content/uploads/flags/images/Greenland/2/large/Greenland.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Grenada,https://dynamospanish.com/wp-content/uploads/flags/images/Grenada/2/large/Grenada.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guatemala,https://dynamospanish.com/wp-content/uploads/flags/images/Guatemala/2/large/Guatemala.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1300,1412,1319,1436,1537,1492,1491,1573,1591,1758,1814,1656,1410,1387,1545,1749,2356,2254,2273,2510,2802,2886,2860,1875,1779,1770,2046,2018,2031,2157,2130,2073,2057,2077,2048,1995,2058,2094,2153,2199,2147,2212,2248,2326,2337,2376,2466,2531,2683,2771,2875,2939,3086,3179,3229,3237,3334,3530,3593,3710,3793,3813,3680,3580,3550,3404,3469,3439,3329,3521,3670,3787,3840,3990,4055,4231,4245,4357,4521,4680,4773,4967,5074,5183,5310,5445,5650,5926,6051,6132,6323,6650,6643,6689,6900,7055,7137
Guinea,https://dynamospanish.com/wp-content/uploads/flags/images/Guinea/2/large/Guinea.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1222,1263,1269,1283,1324,1334,1348,1360,1362,1401,1419,1469,1532,1408,1455,1508,1494,1494,1492,1488,1492,1522,1507,1482,1509,1501,1566,1463,1510,1441,1427,1386,1361,1330,1269,1243,1222,1212,1237,1234,1202,1119,1094,1098,1087,1082,1072,1093,1095,1080,1059,1067,1086,1046,1021,1008,993,1091,1163,1042,1219,1347,1404,1464,1646,1606,1668
Guinea-Bissau,https://dynamospanish.com/wp-content/uploads/flags/images/Guinea_Bissau/2/large/Guinea_Bissau.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",486,513,542,574,685,653,738,781,799,803,841,893,944,979,1078,1151,1223,1294,1334,1399,1464,1399,1483,1481,1532,1553,1515,1383,1538,1541,1267,1232,1255,1184,1221,1244,1203,1216,1355,1319,1343,1342,989,1175,1296,1292,1347,1526,1258,1417,1357,1356,1296,1291,1322,1318,1286,1280,1275,1253,1324,1413,1283,1281,1277,1313,1354
Guyana,https://dynamospanish.com/wp-content/uploads/flags/images/Guyana/2/large/Guyana.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Haiti,https://dynamospanish.com/wp-content/uploads/flags/images/Haiti/2/large/Haiti.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2646,2639,2654,2650,2649,2661,2658,2764,2633,2799,2640,2819,2603,2756,2577,2690,2530,2717,2489,2382,2359,2297,2204,2244,2270,2328,2455,2430,2495,2588,2566,2727,2686,2761,2912,3065,2918,2757,2726,2678,2638,2570,2498,2528,2407,2382,2382,2213,2047,1763,1894,1930,1941,1942,1954,1934,1866,1843,1820,1711,1761,1719,1746,1660,1676,1644,1648,1600,1638,1655,1649,1636
Honduras,https://dynamospanish.com/wp-content/uploads/flags/images/Honduras/2/large/Honduras.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1782,1753,1832,1752,1597,1860,1812,1968,2165,2097,2187,2188,1921,1766,1694,1587,1585,1487,1545,1560,1623,1592,1419,1410,1407,1706,1793,1865,1862,1834,1838,1876,1977,2097,2039,2014,1993,2032,1986,1905,1972,2021,2114,2182,2248,2272,2318,2380,2443,2369,2390,2350,2406,2486,2659,2642,2921,3167,3270,3238,3168,3104,3039,2923,2965,2914,3015,3053,3180,3179,3294,3378,3357,3532,3522,3811,3539,3565,3581,3432,3545,3515,3613,3716,3855,4123,4188,4381,4070,4048,4189,4421,4418,4213,4272,4352,4435
Hong Kong,https://dynamospanish.com/wp-content/uploads/flags/images/Hong_Kong/2/large/Hong_Kong.png,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,1235,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,4013,3627,3781,3914,4054,4208,4375,4547,4718,4873,5002,5012,5693,6100,6414,7064,7381,7621,8123,9056,9840,10377,11160,12151,11656,11432,12867,13827,14629,15675,16216,16644,16853,17604,18897,18111,19872,22607,23293,25065,26899,29575,29737,31822,34468,33797,33254,35327,35319,35251,38153,40623,43738,44560,51289,49910,49244,52209,45074,42672,44857,44532,44716,53707,45785,46504,47043
Hungary,https://dynamospanish.com/wp-content/uploads/flags/images/Hungary/2/large/Hungary.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1448,1448,1448,1519,1519,1519,1519,1519,1519,1519,1237,1237,1237,1237,1384,1650,1565,1620,1748,1792,1780,1717,1696,1875,1911,2033,2198,2176,2316,2522,2378,2421,2574,2574,2574,2574,1728,1810,2282,2481,2654,2929,3047,3119,3238,3539,3397,3758,4048,4246,4507,4776,5024,5354,5709,5810,6198,6610,6745,7004,7039,7419,7320,7470,7579,7610,8025,8900,9714,10291,11289,11201,11413,11088,11135,10937,11494,11954,12486,12563,12097,10979,11092,11813,12506,12736,12493,12838,13409,13919,14757,15950,16957,17058,17035,17676,18268,18711,19457,19799,20365,20886,20945,21816,22766,23539,24047
Iceland,https://dynamospanish.com/wp-content/uploads/flags/images/Iceland/2/large/Iceland.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8653,8178,9153,9302,9953,10892,10797,10590,11386,11521,11314,11509,11935,13275,14753,15816,16717,16011,14603,15263,16320,19498,18998,20868,21621,21573,21449,23915,24620,25397,26385,27102,28050,25123,27339,27171,29382,32333,32512,30687,29773,30234,28390,28361,29255,28908,29350,32494,34274,36173,35630,36597,36670,35177,36891,36512,34555,36319,39947,39098,36515,36740,37721,38668,39383,40572,42980
India,https://dynamospanish.com/wp-content/uploads/flags/images/India/2/large/India.png,"",968,968,968,968,968,968,968,968,968,968,976,976,976,976,976,976,976,976,976,976,975,975,975,975,975,975,975,975,975,975,978,978,978,978,978,978,978,978,978,978,925,925,925,925,925,925,925,925,925,878,878,878,878,878,878,878,878,878,878,878,878,878,878,969,1002,973,1020,1032,1006,1056,961,1041,1071,1090,1066,990,1174,1179,1090,1131,1152,1246,1262,1265,1240,1273,1193,1208,1371,1371,1365,1367,1340,1417,1387,1432,1410,1234,1409,1301,1397,1447,1391,1451,1459,1495,1486,1492,1544,1545,1520,1521,1507,1506,1476,1518,1478,1466,1483,1516,1532,1512,1559,1531,1494,1404,1399,1403,1425,1417,1426,1380,1411,1419,1392,1430,1359,1393,1353,1403,1378,1356,1356,1389,1277,1233,1272,1233,1239,1234,1237,1238,1301,1264,1362,1304,1283,1238,1131,1143,1109,1066,1059,1035,1021,1054,1094,1168,1228,1283,1297,1354,1428,1484,1565,1677,1742,1845,1935,2003,2086,2177,2351,2502,2789,3060,3333,3754,3936,4353,4768,4974,5052,5312,5639,5961
Indonesia,https://dynamospanish.com/wp-content/uploads/flags/images/Indonesia/2/large/Indonesia.png,787,795,794,795,755,777,823,829,815,792,781,770,770,798,823,796,780,819,817,801,839,833,834,817,791,744,720,710,736,709,688,708,681,705,676,709,757,726,774,775,778,783,731,734,725,744,759,783,757,746,767,767,785,769,758,786,781,792,815,810,982,1034,993,969,1043,1042,1024,1025,1015,1005,967,984,1014,1035,1038,1029,1024,1024,1015,1056,1076,1049,1016,1062,1063,1064,1081,1096,1083,1123,1178,1220,1226,1267,1252,1254,1250,1239,1263,1364,1308,1295,1315,1325,1377,1387,1451,1524,1560,1576,1576,1451,1369,1357,1353,1365,1424,1564,1526,1511,1627,1666,1666,1666,1666,1666,1666,1666,1666,1064,1175,1245,1285,1330,1391,1408,1404,1476,1400,1437,1475,1577,1422,1259,1160,1370,1079,1106,1154,1245,1356,1415,1593,1838,2026,1977,2097,2207,2217,2359,2578,2691,2494,2487,2556,2578,2579,2628,2676,2855,3179,3363,3593,3755,4018,4308,4572,4562,3624,3582,3472,3506,3521,3496,3758,4067,4420,4843,5790,6332,7378,8849,9144,9391,9720,10099,10511
Iran,https://dynamospanish.com/wp-content/uploads/flags/images/Iran/2/large/Iran.png,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,2568,2497,2429,2365,2301,2238,2370,2626,2848,3003,3198,3368,3333,3591,3737,4070,4344,4690,5238,5747,6173,6740,7614,8033,8492,8640,9822,9391,8009,7057,5817,5403,5995,6516,6368,6273,5474,5222,4796,4841,5129,5666,6081,5814,5634,5650,6004,6119,6310,6862,7573,8709,10106,11245,12682,14706,15617,16964,16991,17309,17716,18024,15734,15844,15261,15039,15529
Iraq,https://dynamospanish.com/wp-content/uploads/flags/images/Iraq/2/large/Iraq.png,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,840,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,917,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223,2820,3009,3263,4495,5236,4919,5149,4989,5445,5547,6053,6597,6764,6481,7077,7516,7704,7325,8396,8449,8192,8361,9351,10957,12639,14458,16074,12595,14200,17408,17447,15815,14745,12336,11673,11435,11040,11060,8602,7491,7205,2670,3434,3379,3095,2765,2985,1926,2100,2337,3147,3653,3831,2898,4314,4589,5177,5922,7075,7964,9426,11484,12408,13213,12889,13087,13976
Ireland,https://dynamospanish.com/wp-content/uploads/flags/images/Ireland/2/large/Ireland.png,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,2386,3677,3677,3677,3677,3677,3677,3677,3677,3404,3492,3460,3453,3458,3456,3566,3679,3795,3895,3996,3881,3768,3879,3993,4110,3983,4113,4114,4115,4116,4117,4118,4119,4076,4122,4177,4365,4601,4668,4566,5018,5181,5260,5315,5378,5510,5438,5596,5809,6174,6462,6705,6849,6914,7100,7607,8145,8448,8597,8729,9260,9443,9268,9933,10093,11142,11968,12174,12342,12392,12608,12418,12703,12874,13351,14182,15227,16571,17619,18238,18932,20004,21433,24229,25516,28962,32443,34928,39152,41687,46410,48492,51086,53476,53809,55953,49308,48126,48910,48980,48120,48162,51772,53372,55653
Israel,https://dynamospanish.com/wp-content/uploads/flags/images/Israel/2/large/Israel.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4114,4634,4274,4223,4880,5346,5684,5841,6120,6678,6629,7197,7676,8235,8685,9393,9448,9536,11034,12147,12803,13917,15052,15584,15626,16094,15957,15429,15598,15882,16590,17205,17536,18056,17914,17976,19112,20323,20608,20147,21074,21821,22534,22867,23667,24602,25337,26353,27079,27863,29914,29846,29797,28152,27645,27294,27897,28397,28071,29106,29319,29370,29852,30625,31454,31729,32494
Italy,https://dynamospanish.com/wp-content/uploads/flags/images/Italy/2/large/Italy.png,1473,1447,1464,1477,1515,1494,1537,1511,1494,1490,1469,1520,1532,1541,1554,1596,1481,1443,1464,1452,1498,1528,1541,1464,1464,1477,1464,1430,1469,1460,1443,1443,1422,1392,1299,1312,1316,1422,1477,1430,1422,1414,1432,1466,1468,1557,1554,1419,1448,1467,1503,1469,1437,1439,1523,1541,1513,1533,1581,1596,1631,1691,1722,1749,1733,1769,1819,1876,1878,1832,1844,1879,1893,1934,1956,1983,2024,2039,2042,2077,2144,2191,2238,2271,2324,2384,2478,2536,2604,2638,2655,2657,2632,2728,2552,2399,2569,2549,2458,2333,2363,2257,2394,2560,2575,2696,2662,2559,2664,2741,2619,2589,2647,2619,2613,2755,2658,2925,3010,3196,3131,3074,2907,2471,2004,1807,2447,2915,3143,3413,3698,3983,4297,4698,4954,5310,5556,5927,6301,6722,7067,7688,8349,8890,9170,9320,9834,10632,11579,12317,12644,12908,13374,14271,14933,14703,15984,16766,17714,19211,20460,20005,19793,19548,19581,19859,21184,22165,23116,23979,25001,25966,26328,26298,27128,28125,28395,29537,31188,31992,33185,34002,32909,32463,32380,32926,34003,35759,35938,34766,34544,35151,35142,34482,34371,34673,34989
Jamaica,https://dynamospanish.com/wp-content/uploads/flags/images/Jamaica/2/large/Jamaica.png,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,869,869,869,869,869,869,869,869,869,869,858,858,858,858,858,858,858,858,858,858,847,847,847,847,847,847,847,847,847,847,865,865,865,865,865,865,865,865,865,865,883,883,883,883,883,883,883,883,883,883,928,928,928,928,928,928,928,928,928,928,928,928,928,976,976,976,976,976,976,976,976,976,976,976,976,1080,1080,1080,1080,1118,1118,1118,1118,1156,1156,1156,1156,1156,1554,1554,1554,1554,1550,1837,1837,1837,2635,2416,2416,2416,2120,2256,2403,2702,2982,3234,3497,3970,3960,4108,4178,4282,4334,4466,4536,4760,4987,5071,5219,5564,6213,6130,6302,6701,6255,6131,5660,5310,5138,4657,4128,3988,3884,4031,3987,3515,4024,4434,4606,4614,5003,5137,5226,5205,5306,5290,5311,5100,5188,5288,5342,5256,5327,5925,6048,6232,6659,6997,6813,7146,7143,7141,6972,7096,7096,7115,7175
Japan,https://dynamospanish.com/wp-content/uploads/flags/images/Japan/2/large/Japan.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,985,991,996,1003,1010,1082,1048,1072,1060,1116,1153,1108,1127,1118,1116,1149,1224,1271,1201,1246,1351,1277,1352,1347,1495,1500,1404,1418,1668,1527,1575,1611,1508,1593,1587,1545,1732,1770,1761,1737,1741,1810,1848,1852,1772,1909,2177,2224,2228,2440,2265,2483,2446,2416,2452,2518,2500,2497,2661,2705,2471,2454,2620,2835,2802,2832,2994,3084,3259,3743,3815,3809,3732,3732,3512,1776,1903,2028,2268,2363,2519,2853,3086,3217,3357,3631,3841,4067,4324,4652,5185,5730,6261,6668,7371,7753,8526,9364,10536,11753,12904,13521,14548,15453,15101,15703,16508,17403,18504,19490,20408,19954,19602,19052,18897,19017,20373,21518,23400,24869,26341,28111,29064,29967,30728,32146,32540,32662,32132,31980,33294,33086,33215,33576,34354,35292,35572,36054,35257,33798,35477,34979,35143,35494,35550,36030,36452
