country,url,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bermuda,https://dynamospanish.com/wp-content/uploads/flags/images/Bermuda/2/large/Bermuda.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bhutan,https://dynamospanish.com/wp-content/uploads/flags/images/Bhutan/2/large/Bhutan.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bolivia,https://dynamospanish.com/wp-content/uploads/flags/images/Bolivia/2/large/Bolivia.png,"","","","","","","","","","","","","","","","","","","","","","","","","","",640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,735,741,751,751,781,781,730,748,764,767,790,817,790,788,789,816,844,847,873,892,926,942,965,1006,956,971,994,1058,1062,1057,1044,999,1082,1085,1122,1158,1165,1237,1273,1311,1232,1102,1015,1056,1134,1174,1205,1287,1313,1344,1441,1525,1545,1579,1561,1603,1562,1511,1614,1666,1627,1751,1741,1507,1521,1520,1372,1266,1233,1245,1237,1250,1247,1309,1358,1397,1488,1546,1683,1713,1759,1809,1757,1897,2116,2162,2240,2267,2201,2230,2229,2238,2122,2060,2140,2251,2206,2259,2006,2049,2151,2235,2292,2380,2534,2774,3027,3029,3054,3008,2984,3057,3158,3251,3393,3592,3724,3882,4305,4434,4805,5331,5548,5823,5784,5969,6118
Bosnia and Herzegovina,https://dynamospanish.com/wp-content/uploads/flags/images/Bosnia/2/large/Bosnia.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",634,629,619,758,647,742,765,893,962,980,960,1063,1162,1196,1276,1247,1289,1384,1424,1504,1561,1608,1712,1758,1764,1892,2003,2136,2207,2265,2292,2269,2292,2303,2367,2307,2234,2248,1974,2119,1306,1369,1892,2605,5009,5634,5788,6471,5874,5882,6147,6013,5812,6480,7038,7747,8228,8624,8646,8961,9388,9689,9986,10305,10576
Botswana,https://dynamospanish.com/wp-content/uploads/flags/images/Botswana/2/large/Botswana.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1344,1338,1323,1314,1304,1290,1274,1258,1238,1224,1200,1213,1235,1228,1223,1208,1308,1357,1395,1391,1489,1795,2109,2355,2258,2278,2343,2358,2338,2361,2315,2510,2607,2963,3578,4031,4228,4464,4807,5970,6195,6492,6708,6669,6684,7017,7678,8084,8284,8977,9525,9348,10876,10503,10827,12113,12363,12525,12318,11246,12188,13376,13285,13198,14900,14626,15015
Brazil,https://dynamospanish.com/wp-content/uploads/flags/images/Brazil/2/large/Brazil.png,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,642,624,586,566,571,592,634,674,669,687,681,648,663,672,722,748,810,810,810,751,751,777,754,766,777,748,727,763,769,734,740,757,737,787,730,754,704,677,687,751,798,692,589,589,698,634,624,639,627,606,652,638,637,636,641,688,674,655,693,686,746,722,724,696,712,718,751,721,799,860,860,901,933,914,899,900,946,1034,1015,936,896,909,960,1020,1026,1102,1116,1139,1127,1115,1167,1097,1221,1237,1241,1340,1355,1452,1527,1549,1544,1632,1660,1747,1856,1849,1913,2059,2124,2280,2442,2559,2519,2527,2509,2626,2738,2912,2966,3275,3576,3899,4291,4540,4639,4904,4903,4976,5184,5052,5133,5162,4987,5041,5207,5835,5880,5792,5832,5647,5901,5999,6359,7051,8073,9500,9121,8661,8279,8316,8188,8190,8038,8365,8639,9324,10264,11352,11700,13418,14831,14702,14943,14825,15377,13479
Brunei,https://dynamospanish.com/wp-content/uploads/flags/images/Brunei/2/large/Brunei.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Bulgaria,https://dynamospanish.com/wp-content/uploads/flags/images/Bulgaria/2/large/Bulgaria.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,2002,2002,2002,2002,2002,2002,2002,1746,1746,1746,1746,1746,1746,1911,1911,1911,1911,1911,1911,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,1770,1770,1770,1816,2164,2196,2092,2146,2172,2255,2275,2157,2306,2082,2211,2452,2676,2653,2967,2978,2649,2552,2606,2316,1898,1898,1898,1898,1898,2922,3519,3351,3690,3583,3801,3766,4124,4439,4749,5153,5437,5832,6049,6473,6813,7301,7645,7730,8045,8447,8680,9078,9355,9702,10659,10818,10547,10763,11264,10591,11119,11668,11671,11855,11787,11917,12167,11344,11192,10874,11396,11858,8978,8979,9075,7834,7133,7706,7987,8671,9121,9647,9937,10492,11102,12210,13709,14734,14797,14971,15112,15757,15911,16556,17254,17953
Burkina Faso,https://dynamospanish.com/wp-content/uploads/flags/images/Burkina_Faso/2/large/Burkina_Faso.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1378,1400,1419,1438,1458,1478,1499,1518,1540,1558,1557,1749,1877,1788,1817,1873,1858,1992,1994,1997,1865,1874,1831,1685,1664,1497,1446,1526,1609,1632,1608,1598,1566,1456,1397,1548,1713,1578,1627,1512,1424,1449,1369,1337,1196,1236,1297,1344,1364,1384,1355,1315,1283,1263,1255,1299,1324,1289,1295,1265,1328,1344,1487,1452,1513,1527,1561
Burundi,https://dynamospanish.com/wp-content/uploads/flags/images/Burundi/2/large/Burundi.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",790,821,832,851,882,894,912,931,940,977,973,834,903,899,881,882,888,935,919,865,1067,1078,996,1070,1045,1013,1121,1284,1241,1225,1157,1199,1173,1180,1173,1250,1298,1267,1346,1270,1313,1352,1276,1220,1293,1141,1011,980,1050,1025,962,959,967,998,1025,1006,936,868,843,774,743,719,729,763,779,723,692
Cambodia,https://dynamospanish.com/wp-content/uploads/flags/images/Cambodia/2/large/Cambodia.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",553,558,579,570,621,594,655,681,697,745,769,741,780,816,773,788,802,822,837,828,742,814,679,905,735,630,692,776,874,900,923,899,939,978,1017,1063,1091,1018,982,1022,997,1046,1262,1081,1175,1278,1203,1210,1148,1215,1289,1364,1436,1526,1600,1881,1989,2197,2389,2274,2322,2496,2643,2942,2981,3139,3307
