country,url,category,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,https://dynamospanish.com/wp-content/uploads/flags/images/Canada/2/large/Canada.png,North America,3042000,3092000,3122000,3209000,3208000,3252000,3387000,3459000,3499000,3506000,3501000,3496000,3518000,3525000,3475000,3470000,3483000,3465000,3440000,3447000,3474000,3485000,3494000
Cape Verde,https://dynamospanish.com/wp-content/uploads/flags/images/Cape_Verde/2/large/Cape_Verde.png,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Rep.,https://dynamospanish.com/wp-content/uploads/flags/images/Central_African_Republic/2/large/Central_African_Republic.png,Africa,1912000,1904000,1877000,1880000,1881000,1896000,1916000,1987000,1930000,1983000,1988000,1996000,1966000,1989000,2026000,2029000,2090000,2133000,2139000,2164000,2154000,2116000,1879000
Chad,https://dynamospanish.com/wp-content/uploads/flags/images/Chad/2/large/Chad.png,Africa,1800000,1819000,1652000,1979000,1798000,1815000,1897000,2037000,1989000,1947000,2018000,1968000,2024000,2026000,2034000,2022000,2028000,2027000,2021000,2057000,2062000,2124000,2110000
Chile,https://dynamospanish.com/wp-content/uploads/flags/images/Chile/2/large/Chile.png,Latin America & the Caribbean,2601000,2708000,2712000,2745000,2756000,2779000,2789000,2795000,2800000,2833000,2868000,2900000,2891000,2917000,2909000,2957000,2933000,2943000,2892000,2915000,2956000,2958000,2979000
China,https://dynamospanish.com/wp-content/uploads/flags/images/China/2/large/China.png,Asia & the Pacific,2444000,2468000,2550000,2614000,2701000,2704000,2734000,2776000,2770000,2814000,2821000,2836000,2838000,2861000,2883000,2886000,2921000,2977000,2995000,3044000,3080000,3098000,3108000
Colombia,https://dynamospanish.com/wp-content/uploads/flags/images/Colombia/2/large/Colombia.png,Latin America & the Caribbean,2567000,2637000,2684000,2713000,2772000,2758000,2768000,2728000,2763000,2779000,2815000,2782000,2798000,2778000,2733000,2770000,2804000,2807000,2708000,2665000,2696000,2752000,2804000
Comoros,https://dynamospanish.com/wp-content/uploads/flags/images/Comoros/2/large/Comoros.png,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/255px-Flag_of_the_Republic_of_the_Congo.svg.png,Africa,2001000,2012000,1995000,1980000,1978000,1970000,1993000,2045000,2099000,2177000,2232000,2259000,2236000,2263000,2043000,2143000,2135000,2110000,2142000,2143000,2185000,2158000,2208000
Costa Rica,https://dynamospanish.com/wp-content/uploads/flags/images/Costa_Rica/2/large/Costa_Rica.png,Latin America & the Caribbean,2727000,2710000,2749000,2744000,2771000,2713000,2718000,2759000,2803000,2800000,2801000,2765000,2749000,2761000,2813000,2873000,2858000,2844000,2843000,2848000,2882000,2850000,2848000
Cote d'Ivoire,https://dynamospanish.com/wp-content/uploads/flags/images/Cote_d'Ivoire/2/large/Cote_d'Ivoire.png,Africa,2583000,2589000,2517000,2539000,2573000,2609000,2672000,2640000,2645000,2612000,2625000,2666000,2688000,2738000,2787000,2783000,2792000,2739000,2727000,2737000,2784000,2780000,2799000
