country,category,url,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Denmark,Europe,https://cdn.countryflags.com/thumbs/denmark/flag-button-round-250.png,22364,23531,26705,29109,30239,32828,35674,35600,37259,43025,46187,43362,44875,43981,40584,40160,43560,44544,45294,46753,43439,39326,39802,37601,39000,43892,44467,44424,42357,39707,39271,43435,41424,42397,43735,43105,48500,44754,43869,41899,40584,41681,41113,43354,41835,40561,43358,42130,40722,38718,40830,37567,35955,36347,33408,32757
Djibouti,Africa,https://cdn.countryflags.com/thumbs/djibouti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2561,"","","","","","","","","","","","","",2006,2063,2088,2054,"","","","","","","",""
Dominica,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominica/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3471,"","","","","","","","","","","","","",6444,6751,6898,7048,"","","","","","","",""
Dominican Rep.,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/dominican-republic/flag-button-round-250.png,"","","","","","","","","","","",5877,6668,6818,6988,6957,7011,7000,7008,7112,6876,6953,6942,7219,7440,6069,6169,6845,6421,6207,6499,6424,6988,6646,7494,7732,7933,8706,9054,9269,9805,9363,9783,9120,8126,8705,8884,8909,8811,8531,8847,8894,9273,8634,8541,""
Ecuador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/ecuador/flag-button-round-250.png,"","","","","","","","","","","",4163,4193,4136,4874,5229,5661,6606,6627,6815,7284,7386,7752,7009,7321,7219,7013,7006,7160,6682,7204,7396,7317,6669,6981,8000,8251,8393,8454,7463,8118,8465,8122,8108,7702,7906,7809,8687,7868,9217,9165,9550,9280,9844,10370,""
Egypt,Africa,https://cdn.countryflags.com/thumbs/egypt/flag-button-round-250.png,"","","","","","","","","","","",2529,2727,2484,2721,2906,3308,3530,3553,3817,3980,4524,4830,5223,5640,5943,5938,6154,6130,6366,6533,6387,6414,6516,6147,6412,6677,6826,7181,7208,6752,7442,7533,7673,8140,9312,9665,10173,10383,10429,10030,10307,10365,9715,9478,""
El Salvador,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/el-salvador/flag-button-round-250.png,"","","","","","","","","","","",5411,5640,5816,5807,6337,7159,7233,7507,7185,6395,6799,6917,6555,6601,6198,5313,5853,5391,5455,5463,5926,6101,6336,6625,6961,6582,7213,7354,7570,7863,8173,8284,8603,8491,8695,9090,8561,8560,7982,8018,8059,7898,7421,7528,""
Equatorial Guinea,Africa,https://cdn.countryflags.com/thumbs/equatorial-guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12226,19180,22064,24667,"","","","","","","",""
Eritrea,Africa,https://cdn.countryflags.com/thumbs/eritrea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3271,3456,3581,3754,3908,3828,2440,2470,2426,2466,2408,2493,2241,2232,1985,2007,1853,1947,1962,1974,"","","",""
Estonia,Europe,https://cdn.countryflags.com/thumbs/estonia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",72486,67935,49813,42324,43640,42152,47023,46646,42974,40271,39247,41187,39725,44171,45280,44733,43903,49353,47746,42437,49110,49284,48548,53768,53412,48535
